slug,name_en,leagues,height_weight_mismatch,mismatched_fields,height_cm_values,weight_kg_values,nationality_values,birthdate_values,resolved_height_cm,resolved_weight_kg,freshest_league,freshest_scraped_at
ignacio-ruiz,Ignacio RUIZ,top14|national,yes,height_cm|weight_kg,top14:189|national:186,top14:109|national:105,top14:[]|national:[],top14:None|national:None,189,109,top14,2026-07-25T22:46:46+09:00
immanuel-feyi-waboso,Immanuel FEYI-WABOSO,premiership|national,yes,height_cm,premiership:178|national:186,premiership:93|national:93,"premiership:['Wales', 'England']|national:['Wales', 'England']",premiership:None|national:None,186,93,national,2026-07-24T00:15:28+09:00
inaki-ayarza,Iñaki AYARZA,top14|national,yes,height_cm|weight_kg,top14:184|national:186,top14:104|national:105,top14:['Chile']|national:['Chile'],top14:None|national:None,184,104,top14,2026-07-25T23:04:14+09:00
irakli-aptsiauri,Irakli APTSIAURI,top14|national,yes,height_cm|weight_kg,top14:186|national:188,top14:127|national:128,top14:[]|national:[],top14:None|national:None,186,127,top14,2026-07-25T22:31:29+09:00
isaiah-ravula,Isaiah ARMSTRONG-RAVULA,super-rugby|national,yes,height_cm|weight_kg,super-rugby:171|national:179,super-rugby:86|national:81,super-rugby:[]|national:[],super-rugby:None|national:None,171,86,super-rugby,2026-07-25T23:59:38+09:00
isikeli-rabitu,Isikeli RABITU,super-rugby|national,no,,super-rugby:None|national:None,super-rugby:None|national:None,super-rugby:[]|national:[],super-rugby:None|national:None,,,super-rugby,2026-07-25T23:59:40+09:00
isoa-nasilasila,Isoa NASILASILA,super-rugby|national,yes,height_cm|weight_kg,super-rugby:193|national:195,super-rugby:114|national:116,super-rugby:[]|national:[],super-rugby:None|national:None,193,114,super-rugby,2026-07-25T23:58:59+09:00
jack-conan,Jack CONAN,urc|national,yes,height_cm|weight_kg,urc:191|national:189,urc:111|national:107,urc:['Ireland']|national:['Ireland'],urc:None|national:None,189,107,national,2026-07-23T23:59:30+09:00
jack-crowley,Jack CROWLEY,urc|national,yes,height_cm|weight_kg,urc:183|national:181,urc:91|national:95,urc:['Ireland']|national:['Ireland'],urc:None|national:None,181,95,national,2026-07-24T00:00:00+09:00
jack-dempsey,Jack DEMPSEY,urc|national,yes,height_cm|weight_kg,urc:191|national:196,urc:113|national:110,urc:['Australia']|national:['Australia'],urc:None|national:None,196,110,national,2026-07-23T23:48:25+09:00
jack-iscaro,Jack ISCARO,top14|national,yes,height_cm|weight_kg,top14:188|national:184,top14:117|national:122,top14:['United-States']|national:['United-States'],top14:None|national:None,188,117,top14,2026-07-25T22:39:15+09:00
jack-van-poortvliet,Jack VAN POORTVLIET,premiership|national,yes,height_cm|weight_kg,premiership:186|national:185,premiership:88|national:85,premiership:['England']|national:['England'],premiership:None|national:None,185,85,national,2026-07-24T00:14:50+09:00
jacob-stockdale,Jacob STOCKDALE,urc|national,yes,height_cm|weight_kg,urc:196|national:186,urc:103|national:106,urc:['Ireland']|national:['Ireland'],urc:None|national:None,186,106,national,2026-07-24T00:00:27+09:00
jake-gordon,Jake GORDON,super-rugby|national,yes,height_cm|weight_kg,super-rugby:189|national:187,super-rugby:87|national:91,super-rugby:['Australia']|national:['Australia'],super-rugby:None|national:None,189,87,super-rugby,2026-07-25T23:52:33+09:00
james-botham,James BOTHAM,urc|national,yes,height_cm|weight_kg,urc:188|national:195,urc:113|national:112,urc:['Wales']|national:['Wales'],urc:None|national:None,195,112,national,2026-07-24T00:09:41+09:00
james-lowe,James LOWE,urc|national,yes,height_cm|weight_kg,urc:188|national:183,urc:103|national:101,"urc:['New Zealand', 'Ireland']|national:['New Zealand', 'Ireland']",urc:None|national:None,183,101,national,2026-07-24T00:00:31+09:00
james-o-connor,James O'CONNOR,premiership|national,yes,height_cm|weight_kg,premiership:179|national:177,premiership:99|national:93,premiership:['Australia']|national:['Australia'],premiership:None|national:None,177,93,national,2026-07-23T23:53:25+09:00
james-ratti,James RATTI,urc|national,yes,height_cm|weight_kg,urc:192|national:193,urc:124|national:119,urc:['Wales']|national:['Wales'],urc:None|national:None,193,119,national,2026-07-24T00:09:17+09:00
james-ryan,James RYAN,urc|national,yes,height_cm|weight_kg,urc:204|national:201,urc:118|national:117,urc:['Ireland']|national:['Ireland'],urc:None|national:None,201,117,national,2026-07-23T23:59:09+09:00
james-slipper,James SLIPPER,super-rugby|national,yes,height_cm|weight_kg,super-rugby:182|national:183,super-rugby:110|national:112,super-rugby:['Australia']|national:['Australia'],super-rugby:None|national:None,182,110,super-rugby,2026-07-25T23:47:18+09:00
jamie-dobie,Jamie DOBIE,urc|national,yes,height_cm|weight_kg,urc:170|national:179,urc:85|national:77,urc:['Scotland']|national:['Scotland'],urc:None|national:None,179,77,national,2026-07-23T23:48:53+09:00
jamie-george,Jamie GEORGE,premiership|national,yes,height_cm|weight_kg,premiership:187|national:180,premiership:114|national:113,premiership:['England']|national:['England'],premiership:None|national:None,180,113,national,2026-07-24T00:14:01+09:00
jamie-hannah,Jamie HANNAH,super-rugby|national,yes,height_cm|weight_kg,super-rugby:197|national:196,super-rugby:100|national:103,super-rugby:[]|national:[],super-rugby:None|national:None,197,100,super-rugby,2026-07-25T23:45:07+09:00
jamie-osborne,Jamie OSBORNE,urc|national,yes,weight_kg,urc:189|national:189,urc:94|national:101,urc:['Ireland']|national:['Ireland'],urc:None|national:None,189,101,national,2026-07-24T00:00:12+09:00
jamie-ritchie,Jamie RITCHIE,top14|national,yes,height_cm|weight_kg,top14:195|national:194,top14:109|national:105,top14:['Scotland']|national:['Scotland'],top14:None|national:None,195,109,top14,2026-07-25T22:47:26+09:00
jamison-gibson-park,Jamison GIBSON-PARK,urc|national,yes,height_cm|weight_kg,urc:175|national:172,urc:78|national:84,"urc:['New Zealand', 'Ireland']|national:['New Zealand', 'Ireland']",urc:None|national:None,172,84,national,2026-07-23T23:59:49+09:00
jarrod-evans,Jarrod EVANS,premiership|national,yes,height_cm|weight_kg,premiership:174|national:175,premiership:92|national:94,premiership:['Wales']|national:['Wales'],premiership:None|national:None,175,94,national,2026-07-24T00:10:23+09:00
jason-damm,Jason DAMM,mlr|national,yes,height_cm|weight_kg,mlr:190|national:195,mlr:121|national:112,mlr:[]|national:[],mlr:None|national:None,195,112,national,2026-07-24T00:35:45+09:00
jean-baptiste-gros,Jean-Baptiste GROS,top14|national,yes,height_cm|weight_kg,top14:188|national:189,top14:115|national:114,top14:['France']|national:['France'],top14:None|national:None,188,115,top14,2026-07-25T22:53:43+09:00
jean-cotarmanac-h,Jean COTARMANAC'H,top14|national,yes,height_cm|weight_kg,top14:178|national:179,top14:87|national:88,"top14:['France', 'Uruguay']|national:['France', 'Uruguay']",top14:None|national:None,178,87,top14,2026-07-25T23:03:59+09:00
jean-kleyn,Jean KLEYN,urc|national,yes,height_cm|weight_kg,urc:198|national:199,urc:127|national:122,"urc:['South Africa', 'Ireland']|national:['South Africa', 'Ireland']",urc:None|national:None,199,122,national,2026-07-24T00:06:19+09:00
jefferson-poirot,Jefferson POIROT,top14|national,yes,weight_kg,top14:176|national:176,top14:120|national:121,top14:['France']|national:['France'],top14:None|national:None,176,120,top14,2026-07-25T22:16:01+09:00
jeffery-toomaga-allen,Jeffery TOOMAGA-ALLEN,super-rugby|national,yes,height_cm|weight_kg,super-rugby:190|national:188,super-rugby:127|national:125,super-rugby:['New Zealand']|national:['New Zealand'],super-rugby:None|national:None,190,127,super-rugby,2026-07-25T23:49:18+09:00
jeremy-loughman,Jeremy LOUGHMAN,urc|national,yes,height_cm,urc:188|national:179,urc:118|national:118,urc:['Ireland']|national:['Ireland'],urc:None|national:None,179,118,national,2026-07-23T23:58:25+09:00
jeremy-williams,Jeremy WILLIAMS,super-rugby|national,yes,height_cm|weight_kg,super-rugby:195|national:197,super-rugby:117|national:113,super-rugby:[]|national:[],super-rugby:None|national:None,195,117,super-rugby,2026-07-25T23:54:47+09:00
jimi-maximin,Jimi MAXIMIN,top14|national,yes,height_cm|weight_kg,top14:201|national:208,top14:128|national:131,top14:['France']|national:['France'],top14:None|national:None,201,128,top14,2026-07-25T22:43:25+09:00
jimmy-o-brien,Jimmy O'BRIEN,urc|national,yes,height_cm|weight_kg,urc:179|national:181,urc:93|national:94,urc:['Ireland']|national:['Ireland'],urc:None|national:None,181,94,national,2026-07-24T00:00:39+09:00
jimmy-tupou,Jimmy TUPOU,super-rugby|national,yes,height_cm|weight_kg,super-rugby:199|national:198,super-rugby:116|national:115,super-rugby:[]|national:[],super-rugby:None|national:None,199,116,super-rugby,2026-07-26T00:01:04+09:00
jiuta-wainiqolo,Jiuta WAINIQOLO,top14|national,yes,weight_kg,top14:184|national:184,top14:95|national:100,top14:[]|national:[],top14:None|national:None,184,95,top14,2026-07-25T22:33:21+09:00
joaquin-moro,Joaquin MORO,premiership|national,yes,height_cm|weight_kg,premiership:185|national:188,premiership:101|national:105,premiership:['Argentina']|national:['Argentina'],premiership:None|national:None,188,105,national,2026-07-24T00:16:29+09:00
joaquin-oviedo,Joaquín OVIEDO,top14|national,yes,height_cm|weight_kg,top14:186|national:195,top14:115|national:112,top14:['Argentina']|national:['Argentina'],top14:None|national:None,186,115,top14,2026-07-25T22:47:28+09:00
jock-campbell,Jock CAMPBELL,super-rugby|national,yes,height_cm|weight_kg,super-rugby:190|national:186,super-rugby:95|national:89,super-rugby:[]|national:[],super-rugby:None|national:None,190,95,super-rugby,2026-07-25T23:51:02+09:00
joe-heyes,Joe HEYES,premiership|national,yes,height_cm|weight_kg,premiership:184|national:194,premiership:125|national:130,premiership:['England']|national:['England'],premiership:None|national:None,194,130,national,2026-07-24T00:13:51+09:00
joe-roberts,Joe ROBERTS,urc|national,yes,height_cm|weight_kg,urc:180|national:186,urc:92|national:93,urc:['Wales']|national:['Wales'],urc:None|national:None,186,93,national,2026-07-24T00:10:35+09:00
joel-lam,Joel LAM,super-rugby|national,yes,height_cm|weight_kg,super-rugby:175|national:174,super-rugby:87|national:81,"super-rugby:['New Zealand', 'Samoa']|national:['New Zealand', 'Samoa']",super-rugby:None|national:None,175,87,super-rugby,2026-07-26T00:01:44+09:00
joel-merkler,Joël MERKLER,top14|national,yes,height_cm|weight_kg,top14:197|national:189,top14:139|national:130,"top14:['Spain', 'England']|national:['Spain', 'England']",top14:None|national:None,197,139,top14,2026-07-25T22:57:43+09:00
joji-nasova-,Joji NASOVA,super-rugby|national,yes,weight_kg,super-rugby:185|national:185,super-rugby:91|national:89,super-rugby:[]|national:[],super-rugby:None|national:None,185,91,super-rugby,2026-07-25T23:59:51+09:00
jon-zabala,Jon ZABALA,top14|national,yes,height_cm|weight_kg,top14:187|national:194,top14:128|national:132,top14:['Spain']|national:['Spain'],top14:None|national:None,187,128,top14,2026-07-25T22:42:58+09:00
jonathan-taumateine,Jonathan TAUMATEINE,super-rugby|national,yes,height_cm|weight_kg,super-rugby:174|national:178,super-rugby:95|national:93,super-rugby:[]|national:[],super-rugby:None|national:None,174,95,super-rugby,2026-07-26T00:01:47+09:00
jonny-gray,Jonny GRAY,top14|national,yes,height_cm|weight_kg,top14:194|national:196,top14:119|national:120,top14:['Scotland']|national:['Scotland'],top14:None|national:None,194,119,top14,2026-07-25T22:47:06+09:00
jordie-barrett,Jordie BARRETT,super-rugby|national,yes,height_cm|weight_kg,super-rugby:194|national:196,super-rugby:106|national:98,super-rugby:['New Zealand']|national:['New Zealand'],super-rugby:None|national:None,194,106,super-rugby,2026-07-25T23:38:53+09:00
joseph-sua-ali-i,Joseph SUA'ALI'I,super-rugby|national,yes,weight_kg,super-rugby:193|national:193,super-rugby:103|national:102,super-rugby:['Australia']|national:['Australia'],super-rugby:None|national:None,193,103,super-rugby,2026-07-25T23:52:56+09:00
josh--adams-,Josh ADAMS,urc|national,yes,height_cm|weight_kg,urc:191|national:190,urc:95|national:91,urc:['Wales']|national:['Wales'],urc:None|national:None,190,91,national,2026-07-24T00:10:57+09:00
josh-bayliss,Josh BAYLISS,premiership|national,yes,height_cm|weight_kg,premiership:192|national:196,premiership:103|national:105,"premiership:['England', 'Scotland']|national:['England', 'Scotland']",premiership:None|national:None,196,105,national,2026-07-23T23:48:31+09:00
josh-canham,Josh CANHAM,super-rugby|national,yes,weight_kg,super-rugby:198|national:198,super-rugby:120|national:118,super-rugby:[]|national:[],super-rugby:None|national:None,198,120,super-rugby,2026-07-25T23:49:44+09:00
josh-lord,Josh LORD,super-rugby|national,yes,weight_kg,super-rugby:200|national:200,super-rugby:114|national:112,super-rugby:[]|national:[],super-rugby:None|national:None,200,114,super-rugby,2026-07-25T23:40:14+09:00
josh-nasser,Josh NASSER,super-rugby|national,yes,height_cm|weight_kg,super-rugby:190|national:188,super-rugby:119|national:118,super-rugby:[]|national:[],super-rugby:None|national:None,190,119,super-rugby,2026-07-25T23:49:32+09:00
josh-van-der-flier,Josh VAN DER FLIER,urc|national,yes,height_cm|weight_kg,urc:187|national:180,urc:100|national:103,urc:['Ireland']|national:['Ireland'],urc:None|national:None,180,103,national,2026-07-23T23:59:33+09:00
joshua-brennan,Joshua BRENNAN,top14|national,yes,height_cm|weight_kg,top14:204|national:197,top14:115|national:119,"top14:['Ireland', 'France']|national:['Ireland', 'France']",top14:None|national:None,204,115,top14,2026-07-25T22:58:19+09:00
joshua-moorby,Joshua MOORBY,super-rugby|national,yes,height_cm,super-rugby:183|national:188,super-rugby:98|national:98,super-rugby:[]|national:[],super-rugby:None|national:None,183,98,super-rugby,2026-07-25T23:39:12+09:00
josua-tuisova,Josua TUISOVA,top14|national,yes,height_cm|weight_kg,top14:177|national:179,top14:113|national:117,top14:['Fiji']|national:['Fiji'],top14:None|national:None,177,113,top14,2026-07-25T22:52:04+09:00
juan-cruz-mallia,Juan Cruz MALLÍA,top14|national,yes,height_cm|weight_kg,top14:187|national:185,top14:88|national:87,top14:['Argentina']|national:['Argentina'],top14:None|national:None,187,88,top14,2026-07-25T22:59:47+09:00
julian-montoya,Julián MONTOYA,top14|national,yes,height_cm|weight_kg,top14:184|national:188,top14:111|national:113,top14:['Argentina']|national:['Argentina'],top14:None|national:None,184,111,top14,2026-07-25T22:43:13+09:00
julian-roberts,Julian ROBERTS,mlr|national,yes,height_cm|weight_kg,mlr:178|national:177,mlr:96|national:88,mlr:[]|national:[],mlr:None|national:None,177,88,national,2026-07-24T00:36:37+09:00
julien-marchand,Julien MARCHAND,top14|national,yes,height_cm|weight_kg,top14:176|national:178,top14:115|national:111,top14:['France']|national:['France'],top14:None|national:None,176,115,top14,2026-07-25T22:57:59+09:00
justo-piccardo,Justo PICCARDO,top14|national,yes,weight_kg,top14:185|national:185,top14:112|national:117,top14:['Argentina']|national:['Argentina'],top14:None|national:None,185,112,top14,2026-07-25T22:36:52+09:00
kalani-thomas,Kalani THOMAS,super-rugby|national,yes,height_cm|weight_kg,super-rugby:177|national:175,super-rugby:96|national:90,super-rugby:[]|national:[],super-rugby:None|national:None,177,96,super-rugby,2026-07-25T23:50:11+09:00
kaleb-geiger,Kaleb GEIGER,mlr|national,yes,height_cm|weight_kg,mlr:190|national:186,mlr:114|national:120,mlr:[]|national:[],mlr:None|national:None,186,120,national,2026-07-24T00:34:55+09:00
kalvin-gourgues,Kalvin GOURGUES,top14|national,yes,height_cm|weight_kg,top14:183|national:181,top14:92|national:97,top14:['France']|national:['France'],top14:None|national:None,183,92,top14,2026-07-25T22:59:09+09:00
kavaia-tagivetaua,Kavaia TAGIVETAUA,super-rugby|national,yes,height_cm|weight_kg,super-rugby:176|national:179,super-rugby:112|national:113,super-rugby:[]|national:[],super-rugby:None|national:None,176,112,super-rugby,2026-07-25T23:58:43+09:00
kieran-hardy,Kieran HARDY,urc|national,yes,height_cm,urc:185|national:186,urc:90|national:90,urc:['Wales']|national:['Wales'],urc:None|national:None,186,90,national,2026-07-24T00:10:04+09:00
kieron-assiratti,Keiron ASSIRATTI,urc|national,yes,height_cm|weight_kg,urc:191|national:188,urc:119|national:116,urc:['Wales']|national:['Wales'],urc:None|national:None,188,116,national,2026-07-24T00:08:37+09:00
killian-tixeront,Killian TIXERONT,top14|national,yes,height_cm,top14:194|national:200,top14:109|national:109,top14:['France']|national:['France'],top14:None|national:None,194,109,top14,2026-07-25T22:24:43+09:00
kitione-salawa-jr,Kitione SALAWA JR,super-rugby|national,yes,height_cm|weight_kg,super-rugby:197|national:187,super-rugby:91|national:97,super-rugby:[]|national:[],super-rugby:None|national:None,197,91,super-rugby,2026-07-25T23:59:18+09:00
kurt-lee-arendse,Kurt-Lee ARENDSE,urc|national,yes,height_cm|weight_kg,urc:180|national:177,urc:78|national:86,urc:['South Africa']|national:['South Africa'],urc:None|national:None,177,86,national,2026-07-24T00:08:01+09:00
kyle-rowe,Kyle ROWE,urc|national,yes,height_cm|weight_kg,urc:184|national:185,urc:85|national:93,urc:['Scotland']|national:['Scotland'],urc:None|national:None,185,93,national,2026-07-23T23:49:35+09:00
kyle-steyn,Kyle STEYN,urc|national,yes,height_cm|weight_kg,urc:192|national:186,urc:99|national:98,"urc:['South Africa', 'Scotland']|national:['South Africa', 'Scotland']",urc:None|national:None,186,98,national,2026-07-23T23:49:14+09:00
lachlan-shaw,Lachie SHAW,super-rugby|national,yes,weight_kg,super-rugby:203|national:203,super-rugby:115|national:107,super-rugby:[]|national:[],super-rugby:None|national:None,203,115,super-rugby,2026-07-25T23:47:45+09:00
lalomilo-lalomilo,Lalomilo LALOMILO,super-rugby|national,yes,height_cm|weight_kg,super-rugby:177|national:178,super-rugby:107|national:106,super-rugby:[]|national:[],super-rugby:None|national:None,177,107,super-rugby,2026-07-26T00:02:10+09:00
lance-williams,Lance WILLIAMS,mlr|national,yes,height_cm|weight_kg,mlr:185|national:181,mlr:107|national:104,mlr:[]|national:[],mlr:None|national:None,181,104,national,2026-07-24T00:35:48+09:00
leicester-fainga-anuku,Leicester FAINGA'ANUKU,super-rugby|national,yes,weight_kg,super-rugby:189|national:189,super-rugby:104|national:114,"super-rugby:['Tonga', 'New Zealand']|national:['Tonga', 'New Zealand']",super-rugby:None|national:None,189,104,super-rugby,2026-07-25T23:46:32+09:00
lekima-tagitagivalu,Lekima TAGITAGIVALU,top14|national,yes,height_cm|weight_kg,top14:191|national:190,top14:114|national:106,top14:[]|national:[],top14:None|national:None,191,114,top14,2026-07-25T22:51:21+09:00
len-ikitau,Len IKITAU,premiership|national,yes,height_cm|weight_kg,premiership:177|national:179,premiership:91|national:95,premiership:['Australia']|national:['Australia'],premiership:None|national:None,179,95,national,2026-07-23T23:53:48+09:00
lenni-nouchi,Lenni NOUCHI,top14|national,yes,height_cm|weight_kg,top14:190|national:196,top14:109|national:111,top14:['France']|national:['France'],top14:None|national:None,190,109,top14,2026-07-25T22:36:09+09:00
leonardo-marin,Leonardo MARIN,urc|national,yes,height_cm|weight_kg,urc:186|national:185,urc:93|national:89,urc:['Italy']|national:['Italy'],urc:None|national:None,185,89,national,2026-07-24T00:02:15+09:00
leroy-carter,Leroy CARTER,super-rugby|national,yes,height_cm|weight_kg,super-rugby:175|national:179,super-rugby:86|national:91,super-rugby:[]|national:[],super-rugby:None|national:None,175,86,super-rugby,2026-07-25T23:41:21+09:00
levani-botia,Levani BOTIA,top14|national,yes,height_cm|weight_kg,top14:185|national:182,top14:100|national:101,top14:['Fiji']|national:['Fiji'],top14:None|national:None,185,100,top14,2026-07-25T22:28:52+09:00
lolani-faleiva,Lolani FALEIVA,super-rugby|national,yes,weight_kg,super-rugby:193|national:193,super-rugby:135|national:127,super-rugby:[]|national:[],super-rugby:None|national:None,193,135,super-rugby,2026-07-26T00:00:39+09:00
lorenzo-cannone,Lorenzo CANNONE,urc|national,yes,weight_kg,urc:190|national:190,urc:101|national:102,urc:['Italy']|national:['Italy'],urc:None|national:None,190,102,national,2026-07-24T00:01:48+09:00
louis-bielle-biarrey,Louis BIELLE-BIARREY,top14|national,yes,height_cm|weight_kg,top14:181|national:188,top14:86|national:82,top14:['France']|national:['France'],top14:None|national:None,181,86,top14,2026-07-25T22:17:56+09:00
louis-lynagh,Louis LYNAGH,urc|national,yes,height_cm|weight_kg,urc:182|national:192,urc:96|national:98,"urc:['Australia', 'Italy']|national:['Australia', 'Italy']",urc:None|national:None,192,98,national,2026-07-24T00:02:33+09:00
louis-rees-zammit,Louis REES-ZAMMIT,premiership|national,yes,height_cm|weight_kg,premiership:193|national:190,premiership:91|national:96,premiership:['Wales']|national:['Wales'],premiership:None|national:None,190,96,national,2026-07-24T00:11:01+09:00
lucas-rumball,Lucas RUMBALL,mlr|national,yes,height_cm|weight_kg,mlr:197|national:190,mlr:115|national:114,mlr:['Canada']|national:['Canada'],mlr:None|national:None,190,114,national,2026-07-23T23:50:28+09:00
lucien-richardis,Lucien RICHARDIS,top14|national,yes,height_cm|weight_kg,top14:193|national:192,top14:88|national:95,"top14:['France', 'Spain']|national:['France', 'Spain']",top14:None|national:None,193,88,top14,2026-07-25T22:59:01+09:00
lucio-luna,Lucio CINTI LUNA,premiership|national,yes,height_cm|weight_kg,premiership:185|national:186,premiership:94|national:99,premiership:['Argentina']|national:['Argentina'],premiership:None|national:None,186,99,national,2026-07-24T00:17:24+09:00
luka-japaridze,Luka JAPARIDZE,top14|national,yes,height_cm|weight_kg,top14:184|national:181,top14:121|national:127,top14:['Georgia']|national:['Georgia'],top14:None|national:None,184,121,top14,2026-07-25T22:35:00+09:00
luke-carty,Luke CARTY,mlr|national,yes,height_cm|weight_kg,mlr:183|national:182,mlr:92|national:88,mlr:[]|national:[],mlr:None|national:None,182,88,national,2026-07-24T00:36:19+09:00
luke-cowan-dickie,Luke COWAN-DICKIE,premiership|national,yes,height_cm|weight_kg,premiership:185|national:179,premiership:117|national:113,premiership:['England']|national:['England'],premiership:None|national:None,179,113,national,2026-07-24T00:14:05+09:00
luke-jacobson,Luke JACOBSON,super-rugby|national,yes,height_cm,super-rugby:190|national:195,super-rugby:103|national:103,super-rugby:['New Zealand']|national:['New Zealand'],super-rugby:None|national:None,190,103,super-rugby,2026-07-25T23:40:29+09:00
lukhan-lealaiaulolo-tui,Lukhan SALAKAIA-LOTO,super-rugby|national,yes,height_cm|weight_kg,super-rugby:194|national:199,super-rugby:128|national:119,"super-rugby:['Samoa', 'Australia']|national:['Samoa', 'Australia']",super-rugby:None|national:None,194,128,super-rugby,2026-07-25T23:49:46+09:00
mackenzie-hansen,Mack HANSEN,urc|national,yes,height_cm|weight_kg,urc:187|national:192,urc:85|national:91,"urc:['Australia', 'Ireland']|national:['Australia', 'Ireland']",urc:None|national:None,192,91,national,2026-07-24T00:00:42+09:00
magnus-bradbury,Magnus BRADBURY,urc|national,yes,height_cm|weight_kg,urc:187|national:188,urc:114|national:119,urc:['Scotland']|national:['Scotland'],urc:None|national:None,188,119,national,2026-07-23T23:48:37+09:00
makeen-alikhan,Makeen ALIKHAN,mlr|national,yes,height_cm|weight_kg,mlr:189|national:193,mlr:108|national:107,mlr:[]|national:[],mlr:None|national:None,193,107,national,2026-07-24T00:35:52+09:00
maliu-niuafe,Maliu NIUAFE,mlr|national,yes,weight_kg,mlr:196|national:196,mlr:130|national:131,mlr:[]|national:[],mlr:None|national:None,196,131,national,2026-07-24T00:34:58+09:00
mamoru-harada,Mamoru HARADA,super-rugby|national,yes,height_cm|weight_kg|birthdate,super-rugby:180|national:173,super-rugby:105|national:99,super-rugby:[]|national:[],super-rugby:None|national:1999-04-15,180,105,super-rugby,2026-07-26T00:00:50+09:00
manex-ariceta,Manex ARICETA,top14|national,yes,height_cm|weight_kg,top14:195|national:197,top14:114|national:123,top14:[]|national:[],top14:None|national:None,195,114,top14,2026-07-25T22:13:00+09:00
manuel-zuliani,Manuel ZULIANI,urc|national,yes,height_cm|weight_kg,urc:191|national:190,urc:111|national:108,urc:['Italy']|national:['Italy'],urc:None|national:None,190,108,national,2026-07-24T00:01:51+09:00
marco-riccioni,Marco RICCIONI,premiership|national,yes,height_cm|weight_kg,premiership:182|national:187,premiership:119|national:127,premiership:['Italy']|national:['Italy'],premiership:None|national:None,187,127,national,2026-07-24T00:00:57+09:00
marco-van-staden,Marco VAN STADEN,urc|national,yes,height_cm|weight_kg,urc:180|national:182,urc:108|national:107,urc:['South Africa']|national:['South Africa'],urc:None|national:None,182,107,national,2026-07-24T00:06:57+09:00
marcos-kremer,Marcos KREMER,top14|national,yes,height_cm|weight_kg,top14:191|national:195,top14:114|national:111,top14:['Argentina']|national:['Argentina'],top14:None|national:None,191,114,top14,2026-07-25T22:24:53+09:00
marcus-smith,Marcus SMITH,premiership|national,yes,height_cm|weight_kg,premiership:172|national:176,premiership:89|national:81,"premiership:['England', 'Philippines']|national:['England', 'Philippines']",premiership:None|national:None,176,81,national,2026-07-24T00:14:59+09:00
mark-o-keeffe,Mark O'KEEFFE,mlr|national,yes,height_cm|weight_kg,mlr:182|national:187,mlr:103|national:101,mlr:[]|national:[],mlr:None|national:None,187,101,national,2026-07-24T00:36:40+09:00
marko-gazzotti,Marko GAZZOTTI,top14|national,yes,height_cm,top14:192|national:195,top14:106|national:106,top14:['France']|national:['France'],top14:None|national:None,192,106,top14,2026-07-25T22:16:58+09:00
marno-redelinghuys,Marno REDELINGHUYS,mlr|national,yes,height_cm|weight_kg,mlr:192|national:196,mlr:118|national:115,"mlr:['South Africa', 'United-States']|national:['South Africa', 'United-States']",mlr:None|national:None,196,115,national,2026-07-24T00:35:55+09:00
maro-itoje,Maro ITOJE,premiership|national,yes,height_cm|weight_kg,premiership:197|national:198,premiership:112|national:117,premiership:['England']|national:['England'],premiership:None|national:None,198,117,national,2026-07-24T00:14:17+09:00
martin-page-relo,Martin PAGE-RELO,top14|national,yes,height_cm|weight_kg,top14:174|national:177,top14:72|national:79,"top14:['France', 'Italy']|national:['France', 'Italy']",top14:None|national:None,174,72,top14,2026-07-25T22:17:11+09:00
mason-flesch,Mason FLESCH,mlr|national,yes,height_cm|weight_kg,mlr:195|national:196,mlr:114|national:113,mlr:['Canada']|national:['Canada'],mlr:None|national:None,196,113,national,2026-07-23T23:50:31+09:00
mason-grady,Mason GRADY,urc|national,yes,height_cm|weight_kg,urc:194|national:195,urc:122|national:119,urc:['Wales']|national:['Wales'],urc:None|national:None,195,119,national,2026-07-24T00:10:42+09:00
mason-pedersen,Mason PEDERSEN,mlr|national,yes,height_cm|weight_kg,mlr:184|national:181,mlr:124|national:120,mlr:[]|national:[],mlr:None|national:None,181,120,national,2026-07-24T00:35:01+09:00
mateo-carreras,Mateo CARRERAS,top14|national,yes,height_cm|weight_kg,top14:168|national:173,top14:89|national:83,top14:[]|national:[],top14:None|national:None,168,89,top14,2026-07-25T22:14:03+09:00
matias-alemanno,Matías ALEMANNO,premiership|national,yes,height_cm|weight_kg,premiership:194|national:193,premiership:113|national:115,premiership:['Argentina']|national:['Argentina'],premiership:None|national:None,193,115,national,2026-07-24T00:16:24+09:00
matias-moroni,Matías MORONI,premiership|national,yes,height_cm|weight_kg,premiership:185|national:183,premiership:92|national:97,premiership:['Argentina']|national:['Argentina'],premiership:None|national:None,183,97,national,2026-07-24T00:17:11+09:00
matt-faessler,Matt FAESSLER,super-rugby|national,yes,height_cm|weight_kg,super-rugby:180|national:182,super-rugby:110|national:114,super-rugby:[]|national:[],super-rugby:None|national:None,180,110,super-rugby,2026-07-25T23:49:35+09:00
matt-fagerson,Matt FAGERSON,urc|national,yes,height_cm|weight_kg,urc:182|national:183,urc:109|national:113,urc:['Scotland']|national:['Scotland'],urc:None|national:None,183,113,national,2026-07-23T23:48:40+09:00
matt-oworu,Matt OWORU,mlr|national,yes,height_cm|weight_kg,mlr:190|national:187,mlr:108|national:113,mlr:['Canada']|national:['Canada'],mlr:None|national:None,187,113,national,2026-07-23T23:50:34+09:00
