年度,RawData,Source_URL
2005年度,WTB | 大島 佐利 | おおしま さとし | 3 | 栃木 | 国学院栃木 | 180 | 83,https://www.rugby-japan.jp/news/6389
2005年度,WTB | 早田 健二 | はやた けんじ | 3 | 大分 | 大分舞鶴 | 174 | 73,https://www.rugby-japan.jp/news/6389
2005年度,WTB | 武田 晋 | たけだ しん | 3 | 東京 | 國學院久我山 | 181 | 72,https://www.rugby-japan.jp/news/6389
2005年度,FB | 田辺 秀樹 | たなべ ひでき | 3 | 大阪 | 啓光学園 | 174 | 71,https://www.rugby-japan.jp/news/6389
2005年度,FB | 林田 知薫 | はやしだ ともゆき | 3 | 福岡 | 東福岡 | 172 | 69,https://www.rugby-japan.jp/news/6389
2005年度,役職氏名所属団長溝畑 寛治関西大学副団長神尾 雅和大東文化第一高校監督田中 克己天理高校コーチ梶原 宏之桂高校コーチ福谷 厚大阪工業大学高校総務榎本 孝二大阪府立茨木東高校ドクター岡山 明洙兵庫医科大学病院トレーナー山根 太治- | 役職 | 氏名 | 所属 | 団長 | 溝畑 寛治 | 関西大学 | 副団長 | 神尾 雅和 | 大東文化第一高校 | 監督 | 田中 克己 | 天理高校 | コーチ | 梶原 宏之 | 桂高校 | コーチ | 福谷 厚 | 大阪工業大学高校 | 総務 | 榎本 孝二 | 大阪府立茨木東高校 | ドクター | 岡山 明洙 | 兵庫医科大学病院 | トレーナー | 山根 太治 | -,https://www.rugby-japan.jp/news/6389
2005年度,役職 | 氏名 | 所属,https://www.rugby-japan.jp/news/6389
2005年度,団長 | 溝畑 寛治 | 関西大学,https://www.rugby-japan.jp/news/6389
2005年度,副団長 | 神尾 雅和 | 大東文化第一高校,https://www.rugby-japan.jp/news/6389
2005年度,監督 | 田中 克己 | 天理高校,https://www.rugby-japan.jp/news/6389
2005年度,コーチ | 梶原 宏之 | 桂高校,https://www.rugby-japan.jp/news/6389
2005年度,コーチ | 福谷 厚 | 大阪工業大学高校,https://www.rugby-japan.jp/news/6389
2005年度,総務 | 榎本 孝二 | 大阪府立茨木東高校,https://www.rugby-japan.jp/news/6389
2005年度,ドクター | 岡山 明洙 | 兵庫医科大学病院,https://www.rugby-japan.jp/news/6389
2005年度,トレーナー | 山根 太治 | -,https://www.rugby-japan.jp/news/6389
2006年度,団長矢部達三日本協会理事副団長内藤徳男秋田県立男鹿工業高校監督田中克己天理高校コーチ梶原宏之山梨県立桂高校テクニカル福谷厚※大阪工業大学高校総務榎本孝二大阪府立千里高校ドクター村上秀孝社会保険田川病院トレーナー宮崎善幸国際武道大学 | 団長 | 矢部達三 | 日本協会理事 | 副団長 | 内藤徳男 | 秋田県立男鹿工業高校 | 監督 | 田中克己 | 天理高校 | コーチ | 梶原宏之 | 山梨県立桂高校 | テクニカル | 福谷厚※ | 大阪工業大学高校 | 総務 | 榎本孝二 | 大阪府立千里高校 | ドクター | 村上秀孝 | 社会保険田川病院 | トレーナー | 宮崎善幸 | 国際武道大学,https://www.rugby-japan.jp/news/5958
2006年度,団長 | 矢部達三 | 日本協会理事,https://www.rugby-japan.jp/news/5958
2006年度,副団長 | 内藤徳男 | 秋田県立男鹿工業高校,https://www.rugby-japan.jp/news/5958
2006年度,監督 | 田中克己 | 天理高校,https://www.rugby-japan.jp/news/5958
2006年度,コーチ | 梶原宏之 | 山梨県立桂高校,https://www.rugby-japan.jp/news/5958
2006年度,テクニカル | 福谷厚※ | 大阪工業大学高校,https://www.rugby-japan.jp/news/5958
2006年度,総務 | 榎本孝二 | 大阪府立千里高校,https://www.rugby-japan.jp/news/5958
2006年度,ドクター | 村上秀孝 | 社会保険田川病院,https://www.rugby-japan.jp/news/5958
2006年度,トレーナー | 宮崎善幸 | 国際武道大学,https://www.rugby-japan.jp/news/5958
