年度,RawData,Source_URL
2025年度,1 | 小林 賢太Kenta KOBAYASHI | 東京サントリーサンゴリアスTOKYO SUNTORY SUNGOLIATH | 早稲田大学Waseda Univ. | 181 | 113 | 1999/6/2,https://www.rugby-japan.jp/news/53348
2025年度,2 | 江良 颯Hayate ERA | クボタスピアーズ船橋・東京ベイKubota Spears Funabashi TOKYO-BAY | 帝京大学Teikyo Univ. | 172 | 106 | 2001/9/18,https://www.rugby-japan.jp/news/53348
2025年度,3 | 竹内 柊平Shuhei TAKEUCHI | ― | 九州共立大学Kyushu Kyoritsu Univ. | 183 | 115 | 1997/12/9,https://www.rugby-japan.jp/news/53348
2025年度,4 | エピネリ・ウルイヴァイティEpineri ULUIVITI | 三菱重工相模原ダイナボアーズMitsubishi Heavy IndustriesSagamihara Dynaboars | ラトゥ カダヴレヴスクールRatu Kadavulevu School | 196 | 122 | 1996/7/7,https://www.rugby-japan.jp/news/53348
2025年度,5 | ワイサケ・ララトゥブアWaisake RARATUBUA | コベルコ神戸スティーラーズKOBELCO KOBE STEELERS | 東海大学Tokai Univ. | 193 | 120 | 1998/3/17,https://www.rugby-japan.jp/news/53348
2025年度,6 | ヴェティ・トゥポウVUETI TUPOU | 静岡ブルーレヴズSHIZUOKA BlueRevs | 摂南大学Setsunan Univ. | 190 | 121 | 2000/4/2,https://www.rugby-japan.jp/news/53348
2025年度,7 | 下川 甲嗣 ◎Kanji SHIMOKAWA | 東京サントリーサンゴリアスTOKYO SUNTORY SUNGOLIATH | 早稲田大学Waseda Univ. | 188 | 105 | 1999/1/17,https://www.rugby-japan.jp/news/53348
2025年度,8 | 青木 恵斗Keito AOKI | トヨタヴェルブリッツTOYOTA VERBLITZ | 帝京大学Teikyo Univ. | 187 | 110 | 2002/6/14,https://www.rugby-japan.jp/news/53348
2025年度,9 | 福田 健太 〇Kenta FUKUDA | 東京サントリーサンゴリアスTOKYO SUNTORY SUNGOLIATH | 明治大学Meiji Univ. | 173 | 83 | 1996/12/19,https://www.rugby-japan.jp/news/53348
2025年度,10 | サム・グリーンSam GREENE | 静岡ブルーレヴズSHIZUOKA BlueRevs | ブリスベングラマー高校Brisbane Grammar HS. | 178 | 85 | 1994/8/16,https://www.rugby-japan.jp/news/53348
2025年度,11 | 植田 和磨Kazuma UEDA | コベルコ神戸スティーラーズKOBELCO KOBE STEELERS | 近畿大学Kindai Univ. | 177 | 87 | 2002/12/4,https://www.rugby-japan.jp/news/53348
2025年度,12 | チャーリー・ローレンスCharlie LAWRENCE | 三菱重工相模原ダイナボアーズMitsubishi Heavy IndustriesSagamihara Dynaboars | ハミルトンボーイズ高校Hamilton Boys’HS. | 171 | 90 | 1998/5/27,https://www.rugby-japan.jp/news/53348
2025年度,13 | シオサイア・フィフィタSiosaia FIFITA | トヨタヴェルブリッツTOYOTA VERBLITZ | 天理大学Tenri Univ. | 187 | 105 | 1998/12/20,https://www.rugby-japan.jp/news/53348
2025年度,14 | メイン 平Taira MAIN | リコーブラックラムズ東京RICOH BlackRams Tokyo | 御所実業高校Gose Industrial HS. | 178 | 90 | 2000/9/5,https://www.rugby-japan.jp/news/53348
2025年度,15 | 竹之下 仁吾Jingo TAKENOSHITA | 明治大学Meiji Univ. | 報徳学園高校Hotoku Gakuen HS. | 180 | 86 | 2004/6/11,https://www.rugby-japan.jp/news/53348
2025年度,16 | 佐藤 健次Kenji SATO | 埼玉パナソニックワイルドナイツSAITAMA Panasonic WILD KNIGHTS | 早稲田大学Waseda Univ. | 177 | 108 | 2003/1/4,https://www.rugby-japan.jp/news/53348
2025年度,17 | 木村 星南Sena KIMURA | 東芝ブレイブルーパス東京TOSHIBA BRAVE LUPUS TOKYO | 東海大学Tokai Univ. | 175 | 105 | 1999/6/24,https://www.rugby-japan.jp/news/53348
2025年度,18 | 木原 三四郎Sanshiro KIHARA | 東京サントリーサンゴリアスTOKYO SUNTORY SUNGOLIATH | 専修大学Senshu Univ. | 181 | 108 | 2003/1/20,https://www.rugby-japan.jp/news/53348
2025年度,19 | 山本 秀Shu YAMAMOTO | リコーブラックラムズ東京RICOH BlackRams Tokyo | 近畿大学Kindai Univ. | 190 | 96 | 1999/6/1,https://www.rugby-japan.jp/news/53348
2025年度,20 | 木戸 大士郎Taishiro KIDO | 東芝ブレイブルーパス東京TOSHIBA BRAVE LUPUS TOKYO | 明治大学Meiji Univ. | 186 | 103 | 2002/7/26,https://www.rugby-japan.jp/news/53348
2025年度,21 | 北村 瞬太郎Shuntaro KITAMURA | 静岡ブルーレヴズSHIZUOKA BlueRevs | 立命館大学Ritsumeikan Univ. | 168 | 77 | 2002/3/28,https://www.rugby-japan.jp/news/53348
2025年度,22 | 中楠 一期Ichigo NAKAKUSU | リコーブラックラムズ東京RICOH BlackRams Tokyo | 慶應義塾大学Keio Univ. | 174 | 84 | 2000/6/1,https://www.rugby-japan.jp/news/53348
2025年度,23 | ハラトア・ヴァイレアHalatoa VAILEA | クボタスピアーズ船橋・東京ベイKubota Spears Funabashi TOKYO-BAY | 日本体育大学Nippon Sport Science Univ. | 185 | 104 | 1999/2/14,https://www.rugby-japan.jp/news/53348
