title,name_ja,name_en,position,height,weight,age,birth_date,birth_place_scraped,league,team,high_school,university,junior_high_school,rugby_school,caps,league_one_caps,scraped_url,category
南橋直哉,南橋直哉,---,---,178,85,---,1989-8-10,京都府京都市,top-east-a,AZ-COM丸和MOMOTARO'S,伏見工業高校,帝京大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/bk/5695/,top-east
藤高将,藤高将,---,---,173,88,---,1997-8-27,大阪府四条畷市,top-east-a,AZ-COM丸和MOMOTARO'S,大阪桐蔭高校,立命館大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/bk/4055/,top-east
鹿尾貫太,鹿尾貫太,---,---,177,90,---,1995-9-6,福岡県福岡市,top-east-a,AZ-COM丸和MOMOTARO'S,東海大学,東福岡高校,---,---,---,---,https://www.momotaros.jp/archives/member/player/bk/4837/,top-east
宇山大成,宇山大成,---,---,167,80,---,2002-4-30,東京都大田区,top-east-a,AZ-COM丸和MOMOTARO'S,天理高校,天理大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/bk/5270/,top-east
原田光貴,原田光貴,---,---,6,82,---,2002-7-18,岡山県津山市,top-east-a,AZ-COM丸和MOMOTARO'S,石見智翠館高校,大東文化大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/bk/5288/,top-east
川井太貴,川井太貴,---,---,173,85,---,1997-4-30,大阪府茨木市,top-east-a,AZ-COM丸和MOMOTARO'S,常翔学園,近畿大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/bk/4841/,top-east
落合知之,落合知之,---,---,185,95,---,1994-6-29,新潟県五泉市,top-east-a,AZ-COM丸和MOMOTARO'S,北越高等学校,流通経済大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/bk/4845/,top-east
斉藤仁夢,斉藤仁夢,---,---,163,72,---,2001-4-11,兵庫県尼崎市,top-east-a,AZ-COM丸和MOMOTARO'S,石見智翠館高校,中京大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/bk/4585/,top-east
堀井雄登,堀井雄登,---,---,165,78,---,2001-1-12,埼玉県草加市,top-east-a,AZ-COM丸和MOMOTARO'S,大東文化大学第一高校,流通経済大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/bk/3728/,top-east
坂井裕生,坂井裕生,---,---,176,79,---,2003-2-17,北海道北斗市,top-east-a,AZ-COM丸和MOMOTARO'S,北海道函館工業高校,八戸学院大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/bk/5284/,top-east
グレンバイフ,グレンバイフ,---,---,183,98,---,2001-10-8,Australia,top-east-a,AZ-COM丸和MOMOTARO'S,,Gregory terrace brisbane,---,---,---,---,https://www.momotaros.jp/archives/member/player/bk/5746/,top-east
