nationality,place_of_birth,birth_date,scraped_url,player_name
,,,https://all.rugby/player/sean-o-brien-1998,Seán O'BRIEN
,,,https://all.rugby/player/sean-naughton,Seán NAUGHTON
,,,https://all.rugby/player/sean-jansen,Sean JANSEN
,,,https://all.rugby/player/sean-edogbo,Seán EDOGBO
,,,https://all.rugby/player/seabelo-senatla,Seabelo SENATLA
,,,https://all.rugby/player/scott-wilson-,Scott WILSON
,,,https://all.rugby/player/scott-whitlock,Scott WHITLOCK
,,,https://all.rugby/player/scott-scrafton,Scott SCRAFTON
Scotland,,,https://all.rugby/player/scott-cummings,Scott CUMMINGS
,,,https://all.rugby/player/sazi-sandi,Sazi SANDI
Argentina,,,https://all.rugby/player/santiago-medrano,Santiago MEDRANO
Uruguay,,,https://all.rugby/player/santiago-arata,Santiago ARATA
,,,https://all.rugby/player/samuele-locatelli,Samuele LOCATELLI
,,,https://all.rugby/player/samuel-ezeala,Samuel EZEALA
New Zealand,,,https://all.rugby/player/sama-malolo,Sama MALOLO
,,,https://all.rugby/player/sam-williams-21689,Sam WILLIAMS
Wales,,,https://all.rugby/player/sam-wainwright,Sam WAINWRIGHT
Australia,,,https://all.rugby/player/sam-talakai,Sam TALAKAI
England,,,https://all.rugby/player/sam-skinner,Sam SKINNER
England,,,https://all.rugby/player/sam-simmonds,Sam SIMMONDS
,,,https://all.rugby/player/sam-scarfe,Sam SCARFE
Wales,,,https://all.rugby/player/sam-parry,Sam PARRY
,,,https://all.rugby/player/sam-o-connor,Sam O'CONNOR
New Zealand,,,https://all.rugby/player/sam-lousi,Sam LOUSI
,,,https://all.rugby/player/sam-leweni,Sam LEWENI
,,,https://all.rugby/player/sam-james,Sam JAMES
,,,https://all.rugby/player/sam-illo,Sam ILLO
,,,https://all.rugby/player/sam-gilbert,Sam GILBERT
,,,https://all.rugby/player/sam-francis,Sam FRANCIS
,,,https://all.rugby/player/sam-crean,Sam CREAN
Wales,,,https://all.rugby/player/sam-costelow,Sam COSTELOW
,,,https://all.rugby/player/sam-byrd,Sam BYRD
,,,https://all.rugby/player/sam-berman,Sam BERMAN
South Africa,,,https://all.rugby/player/salmaan-moerat,Salmaan MOERAT
,,,https://all.rugby/player/salesi-rayasi,Salesi RAYASI
