name_en,position,caps,club,representative_team,tournament
Jacob Stockdale,Wing,21,Ulster,Ireland,Rugby World Cup 2019
Rob Kearney,Fullback,92,Leinster,Ireland,Rugby World Cup 2019
Jordan Larmour,Fullback,16,Leinster,Ireland,Rugby World Cup 2019
Shota Horie,Hooker,61,Panasonic Wild Knights,Japan,Rugby World Cup 2019
Takuya Kitade,Hooker,1,Suntory Sungoliath,Japan,Rugby World Cup 2019
Atsushi Sakate,Hooker,17,Panasonic Wild Knights,Japan,Rugby World Cup 2019
Asaeli Ai Valu,Prop,9,Panasonic Wild Knights,Japan,Rugby World Cup 2019
Keita Inagaki,Prop,29,Panasonic Wild Knights,Japan,Rugby World Cup 2019
Koo Ji-won,Prop,8,Honda Heat,Japan,Rugby World Cup 2019
Yusuke Kizu,Prop,3,Toyota Verblitz,Japan,Rugby World Cup 2019
Isileli Nakajima,Prop,3,Kobelco Steelers,Japan,Rugby World Cup 2019
Uwe Helu,Lock,14,Yamaha Júbilo,Japan,Rugby World Cup 2019
James Moore,Lock,3,Munakata Sanix Blues,Japan,Rugby World Cup 2019
Luke Thompson,Lock,67,Kintetsu Liners,Japan,Rugby World Cup 2019
Wimpie van der Walt,Lock,12,NTT DoCoMo Red Hurricanes,Japan,Rugby World Cup 2019
Kazuki Himeno,Loose forward,12,Toyota Verblitz,Japan,Rugby World Cup 2019
Michael Leitch,Loose forward,63,Toshiba Brave Lupus,Japan,Rugby World Cup 2019
Lappies Labuschagné,Loose forward,3,Kubota Spears,Japan,Rugby World Cup 2019
Amanaki Mafi,Loose forward,25,NTT Communications Shining Arcs,Japan,Rugby World Cup 2019
Yoshitaka Tokunaga,Loose forward,12,Toshiba Brave Lupus,Japan,Rugby World Cup 2019
Hendrik Tui,Loose forward,44,Suntory Sungoliath,Japan,Rugby World Cup 2019
Yutaka Nagare,Scrum-half,19,Suntory Sungoliath,Japan,Rugby World Cup 2019
Kaito Shigeno,Scrum-half,10,Toyota Verblitz,Japan,Rugby World Cup 2019
Fumiaki Tanaka,Scrum-half,70,Canon Eagles,Japan,Rugby World Cup 2019
Rikiya Matsuda,Fly-half,20,Panasonic Wild Knights,Japan,Rugby World Cup 2019
Yu Tamura,Fly-half,57,Canon Eagles,Japan,Rugby World Cup 2019
Timothy Lafaele,Centre,18,Kubota Spears,Japan,Rugby World Cup 2019
Ryoto Nakamura,Centre,19,Suntory Sungoliath,Japan,Rugby World Cup 2019
Will Tupou,Centre,10,Coca-Cola Red Sparks,Japan,Rugby World Cup 2019
Kenki Fukuoka,Wing,34,Panasonic Wild Knights,Japan,Rugby World Cup 2019
Lomano Lemeki,Wing,11,Honda Heat,Japan,Rugby World Cup 2019
Ataata Moeakiola,Wing,4,Kobelco Steelers,Japan,Rugby World Cup 2019
Kotaro Matsushima,Fullback,34,Suntory Sungoliath,Japan,Rugby World Cup 2019
Ryohei Yamanaka,Fullback,13,Kobelco Steelers,Japan,Rugby World Cup 2019
Sergey Chernyshev,Hooker,10,Slava Moscow,Russia,Rugby World Cup 2019
Evgeny Matveev,Hooker,58,VVA-Podmoskovye,Russia,Rugby World Cup 2019
Stanislav Sel'skiy,Hooker,35,Enisey-STM,Russia,Rugby World Cup 2019
Azamat Bitiev,Prop,19,Krasny Yar,Russia,Rugby World Cup 2019
Kirill Gotovtsev,Prop,3,Krasny Yar,Russia,Rugby World Cup 2019
Valery Morozov,Prop,17,Sale Sharks,Russia,Rugby World Cup 2019
Vladimir Podrezov,Prop,25,VVA-Podmoskovye,Russia,Rugby World Cup 2019
Andrey Polivalov,Prop,25,VVA-Podmoskovye,Russia,Rugby World Cup 2019
Evgeny Elgin,Lock,24,Enisey-STM,Russia,Rugby World Cup 2019
Bogdan Fedotko,Lock,20,Krasny Yar,Russia,Rugby World Cup 2019
Andrey Garbuzov,Lock,94,Krasny Yar,Russia,Rugby World Cup 2019
Andrei Ostrikov,Lock,33,Grenoble,Russia,Rugby World Cup 2019
Tagir Gadzhiev,Back row,27,Kuban,Russia,Rugby World Cup 2019
Victor Gresev,Back row,98,Krasny Yar,Russia,Rugby World Cup 2019
Roman Khodin,Back row,4,Kuban,Russia,Rugby World Cup 2019
Anton Sychev,Back row,14,Metallurg,Russia,Rugby World Cup 2019
Nikita Vavilin,Back row,10,Slava Moscow,Russia,Rugby World Cup 2019
Vitaly Zhivatov,Back row,9,VVA-Podmoskovye,Russia,Rugby World Cup 2019
Vasily Dorofeev,Scrum-half,22,Krasny Yar,Russia,Rugby World Cup 2019
Dmitry Perov,Scrum-half,10,VVA-Podmoskovye,Russia,Rugby World Cup 2019
Ramil Gaisin,Fly-half,44,Enisey-STM,Russia,Rugby World Cup 2019
Yuri Kushnarev,Fly-half,109,Krasny Yar,Russia,Rugby World Cup 2019
Sergey Yanyushkin,Fly-half,15,Lokomotiv Penza,Russia,Rugby World Cup 2019
Igor Galinovskiy,Centre,49,Krasny Yar,Russia,Rugby World Cup 2019
Dmitry Gerasimov,Centre,64,Enisey-STM,Russia,Rugby World Cup 2019
Kirill Golosnitsky,Centre,9,Krasny Yar,Russia,Rugby World Cup 2019
Vladimir Ostroushko,Centre,46,Kuban,Russia,Rugby World Cup 2019
German Davydov,Wing,17,VVA-Podmoskovye,Russia,Rugby World Cup 2019
Denis Simplikevich,Wing,28,Enisey-STM,Russia,Rugby World Cup 2019
Vladislav Sozonov,Wing,8,VVA-Podmoskovye,Russia,Rugby World Cup 2019
Vasily Artemyev,Fullback,86,Krasny Yar,Russia,Rugby World Cup 2019
Seilala Lam,Hooker,13,Perpignan,Samoa,Rugby World Cup 2019
Motu Matu'u,Hooker,21,London Irish,Samoa,Rugby World Cup 2019
Ray Niuia,Hooker,4,Highlanders,Samoa,Rugby World Cup 2019
Michael Alaalatoa,Prop,1,Crusaders,Samoa,Rugby World Cup 2019
Paul Alo-Emile,Prop,13,Stade Français,Samoa,Rugby World Cup 2019
James Lay,Prop,10,Bristol Bears,Samoa,Rugby World Cup 2019
Jordan Lay,Prop,16,Bristol Bears,Samoa,Rugby World Cup 2019
Logovi'i Mulipola,Prop,30,Newcastle Falcons,Samoa,Rugby World Cup 2019
Kane Le'aupepe,Lock,6,Hurricanes,Samoa,Rugby World Cup 2019
Filo Paulo,Lock,34,Unattached,Samoa,Rugby World Cup 2019
Senio Toleafoa,Lock,2,Nevers,Samoa,Rugby World Cup 2019
Josh Tyrell,Lock,7,Oyonnax,Samoa,Rugby World Cup 2019
Afa Amosa,Loose forward,3,Bordeaux-Bègles,Samoa,Rugby World Cup 2019
Piula Faʻasalele,Loose forward,18,Perpignan,Samoa,Rugby World Cup 2019
TJ Ioane,Loose forward,21,London Irish,Samoa,Rugby World Cup 2019
Jack Lam,Loose forward,35,Unattached,Samoa,Rugby World Cup 2019
Alamanda Motuga,Loose forward,1,Manurewa RFC,Samoa,Rugby World Cup 2019
Chris Vui,Loose forward,14,Bristol Bears,Samoa,Rugby World Cup 2019
Pele Cowley,Scrum-half,12,Ponsonby,Samoa,Rugby World Cup 2019
Scott Malolua,Scrum-half,1,Queensland Reds,Samoa,Rugby World Cup 2019
Melani Matavao,Scrum-half,9,Aana Chiefs,Samoa,Rugby World Cup 2019
Dwayne Polataivao,Scrum-half,13,Unattached,Samoa,Rugby World Cup 2019
AJ Alatimu,Fly-half,5,Western Force,Samoa,Rugby World Cup 2019
Tusi Pisi,Fly-half,38,Toyota Industries Shuttles,Samoa,Rugby World Cup 2019
UJ Seuteni,Fly-half,2,Bordeaux-Bègles,Samoa,Rugby World Cup 2019
Kieron Fonotia,Centre,9,Scarlets,Samoa,Rugby World Cup 2019
Rey Lee-Lo,Centre,25,Cardiff Blues,Samoa,Rugby World Cup 2019
Henry Taefu,Centre,3,Western Force,Samoa,Rugby World Cup 2019
Ed Fidow,Wing,8,Worcester Warriors,Samoa,Rugby World Cup 2019
Alapati Leiua,Wing,27,Bristol Bears,Samoa,Rugby World Cup 2019
Belgium Tuatagaloa,Wing,3,Unattached,Samoa,Rugby World Cup 2019
Tim Nanai-Williams,Fullback,12,Clermont Auvergne,Samoa,Rugby World Cup 2019
Ahsee Tuala,Fullback,20,Northampton Saints,Samoa,Rugby World Cup 2019
Fraser Brown,Hooker,42,Glasgow Warriors,Scotland,Rugby World Cup 2019
Stuart McInally,Hooker,29,Edinburgh,Scotland,Rugby World Cup 2019
George Turner,Hooker,8,Glasgow Warriors,Scotland,Rugby World Cup 2019
Simon Berghan,Prop,22,Edinburgh,Scotland,Rugby World Cup 2019
Allan Dell,Prop,25,London Irish,Scotland,Rugby World Cup 2019
Zander Fagerson,Prop,22,Glasgow Warriors,Scotland,Rugby World Cup 2019
WP Nel,Prop,31,Edinburgh,Scotland,Rugby World Cup 2019
Gordon Reid,Prop,37,Ayrshire Bulls,Scotland,Rugby World Cup 2019
Scott Cummings,Lock,4,Glasgow Warriors,Scotland,Rugby World Cup 2019
Grant Gilchrist,Lock,36,Edinburgh,Scotland,Rugby World Cup 2019
Jonny Gray,Lock,52,Glasgow Warriors,Scotland,Rugby World Cup 2019
Ben Toolis,Lock,21,Edinburgh,Scotland,Rugby World Cup 2019
John Barclay,Back row,74,Edinburgh,Scotland,Rugby World Cup 2019
Magnus Bradbury,Back row,8,Edinburgh,Scotland,Rugby World Cup 2019
Jamie Ritchie,Back row,12,Edinburgh,Scotland,Rugby World Cup 2019
Blade Thomson,Back row,2,Scarlets,Scotland,Rugby World Cup 2019
Hamish Watson,Back row,27,Edinburgh,Scotland,Rugby World Cup 2019
Ryan Wilson,Back row,45,Glasgow Warriors,Scotland,Rugby World Cup 2019
George Horne,Scrum-half,7,Glasgow Warriors,Scotland,Rugby World Cup 2019
Greig Laidlaw,Scrum-half,73,Clermont Auvergne,Scotland,Rugby World Cup 2019
Ali Price,Scrum-half,27,Glasgow Warriors,Scotland,Rugby World Cup 2019
Henry Pyrgos,Scrum-half,27,Edinburgh,Scotland,Rugby World Cup 2019
Adam Hastings,Fly-half,14,Glasgow Warriors,Scotland,Rugby World Cup 2019
Finn Russell,Fly-half,46,Racing 92,Scotland,Rugby World Cup 2019
Chris Harris,Centre,10,Gloucester,Scotland,Rugby World Cup 2019
Peter Horne,Centre,43,Glasgow Warriors,Scotland,Rugby World Cup 2019
Sam Johnson,Centre,6,Glasgow Warriors,Scotland,Rugby World Cup 2019
Duncan Taylor,Centre,23,Saracens,Scotland,Rugby World Cup 2019
Darcy Graham,Wing,7,Edinburgh,Scotland,Rugby World Cup 2019
Sean Maitland,Wing,42,Saracens,Scotland,Rugby World Cup 2019
Tommy Seymour,Wing,52,Glasgow Warriors,Scotland,Rugby World Cup 2019
Stuart Hogg,Fullback,69,Exeter Chiefs,Scotland,Rugby World Cup 2019
Blair Kinghorn,Fullback,15,Edinburgh,Scotland,Rugby World Cup 2019
Eric Howard,Hooker,23,New Orleans Gold,Canada,Rugby World Cup 2019
Benoît Piffero,Hooker,24,Blagnac SCR,Canada,Rugby World Cup 2019
Andrew Quattrin,Hooker,3,Toronto Arrows,Canada,Rugby World Cup 2019
Hubert Buydens,Prop,55,New Orleans Gold,Canada,Rugby World Cup 2019
Jake Ilnicki,Prop,36,Seattle Seawolves,Canada,Rugby World Cup 2019
Cole Keith,Prop,14,Toronto Arrows,Canada,Rugby World Cup 2019
Djustice Sears-Duru,Prop,49,Seattle Seawolves,Canada,Rugby World Cup 2019
Matt Tierney,Prop,20,Castres,Canada,Rugby World Cup 2019
Conor Keys,Lock,16,Unattached,Canada,Rugby World Cup 2019
Josh Larsen,Lock,12,New England Free Jacks,Canada,Rugby World Cup 2019
Evan Olmstead,Lock,31,Unattached,Canada,Rugby World Cup 2019
Mike Sheppard,Lock,8,Toronto Arrows,Canada,Rugby World Cup 2019
Tyler Ardron,Back row,34,Chiefs,Canada,Rugby World Cup 2019
Kyle Baillie,Back row,28,New Orleans Gold,Canada,Rugby World Cup 2019
Justin Blanchet,Back row,6,Unattached,Canada,Rugby World Cup 2019
Luke Campbell,Back row,12,Toronto Arrows,Canada,Rugby World Cup 2019
Matt Heaton,Back row,25,Rugby ATL,Canada,Rugby World Cup 2019
Lucas Rumball,Back row,32,Toronto Arrows,Canada,Rugby World Cup 2019
Phil Mack,Scrum-half,57,Seattle Seawolves,Canada,Rugby World Cup 2019
Jamie Mackenzie,Scrum-half,19,Toronto Arrows,Canada,Rugby World Cup 2019
Gordon McRorie,Scrum-half,43,Calgary Hornets,Canada,Rugby World Cup 2019
Shane O'Leary,Fly-half,13,Nottingham,Canada,Rugby World Cup 2019
Pat Parfrey,Fly-half,30,Toronto Arrows,Canada,Rugby World Cup 2019
Nick Blevins,Centre,62,Calgary Hornets,Canada,Rugby World Cup 2019
Giuseppe du Toit,Centre,13,Toronto Arrows,Canada,Rugby World Cup 2019
Ciaran Hearn,Centre,70,Unattached,Canada,Rugby World Cup 2019
Ben LeSage,Centre,15,Calgary Canucks,Canada,Rugby World Cup 2019
Conor Trainor,Centre,34,USO Nevers,Canada,Rugby World Cup 2019
Jeff Hassler,Wing,24,Seattle Seawolves,Canada,Rugby World Cup 2019
Kainoa Lloyd,Wing,11,Toronto Arrows,Canada,Rugby World Cup 2019
Taylor Paris,Wing,27,Castres,Canada,Rugby World Cup 2019
D. T. H. van der Merwe,Wing,58,Glasgow Warriors,Canada,Rugby World Cup 2019
Andrew Coe,Fullback,11,Markham Irish,Canada,Rugby World Cup 2019
Peter Nelson,Fullback,4,Unattached,Canada,Rugby World Cup 2019
Theo Sauder,Fullback,8,Toronto Arrows,Canada,Rugby World Cup 2019
Luca Bigi,Hooker,21,Zebre,Italy,Rugby World Cup 2019
Oliviero Fabiani,Hooker,9,Zebre,Italy,Rugby World Cup 2019
Leonardo Ghiraldini,Hooker,104,Unattached,Italy,Rugby World Cup 2019
Simone Ferrari,Prop,26,Benetton,Italy,Rugby World Cup 2019
Danilo Fischetti,Prop,0,Zebre,Italy,Rugby World Cup 2019
Andrea Lovotti,Prop,38,Zebre,Italy,Rugby World Cup 2019
Tiziano Pasquali,Prop,20,Benetton,Italy,Rugby World Cup 2019
Nicola Quaglio,Prop,11,Benetton,Italy,Rugby World Cup 2019
Marco Riccioni,Prop,4,Benetton,Italy,Rugby World Cup 2019
Federico Zani,Prop,11,Benetton,Italy,Rugby World Cup 2019
Giosuè Zilocchi,Prop,2,Zebre,Italy,Rugby World Cup 2019
Dean Budd,Lock,23,Benetton,Italy,Rugby World Cup 2019
Federico Ruzza,Lock,15,Benetton,Italy,Rugby World Cup 2019
Dave Sisi,Lock,7,Zebre,Italy,Rugby World Cup 2019
Alessandro Zanni,Lock,115,Benetton,Italy,Rugby World Cup 2019
Maxime Mbanda,Back row,18,Zebre,Italy,Rugby World Cup 2019
Sebastian Negri,Back row,20,Benetton,Italy,Rugby World Cup 2019
Sergio Parisse,Back row,140,Toulon,Italy,Rugby World Cup 2019
Jake Polledri,Back row,10,Gloucester,Italy,Rugby World Cup 2019
Braam Steyn,Back row,33,Benetton,Italy,Rugby World Cup 2019
Callum Braley,Scrum-half,3,Gloucester,Italy,Rugby World Cup 2019
Guglielmo Palazzani,Scrum-half,34,Zebre,Italy,Rugby World Cup 2019
Tito Tebaldi,Scrum-half,34,Benetton,Italy,Rugby World Cup 2019
Tommaso Allan,Fly-half,51,Benetton,Italy,Rugby World Cup 2019
Carlo Canna,Fly-half,36,Zebre,Italy,Rugby World Cup 2019
Tommaso Benvenuti,Centre,59,Benetton,Italy,Rugby World Cup 2019
Michele Campagnaro,Centre,44,Harlequins,Italy,Rugby World Cup 2019
Luca Morisi,Centre,27,Benetton,Italy,Rugby World Cup 2019
Mattia Bellini,Wing,20,Zebre,Italy,Rugby World Cup 2019
Giulio Bisegni,Wing,13,Zebre,Italy,Rugby World Cup 2019
Matteo Minozzi,Fullback,13,Wasps,Italy,Rugby World Cup 2019
Jayden Hayward,Fullback,20,Benetton,Italy,Rugby World Cup 2019
Edoardo Padovani,Fullback,23,Zebre,Italy,Rugby World Cup 2019
Obert Nortjé,Hooker,15,Welwitschias,Namibia,Rugby World Cup 2019
Louis van der Westhuizen,Hooker,19,Welwitschias,Namibia,Rugby World Cup 2019
Torsten van Jaarsveld,Hooker,14,Bayonne,Namibia,Rugby World Cup 2019
Aranos Coetzee,Prop,21,Free State Cheetahs,Namibia,Rugby World Cup 2019
AJ de Klerk,Prop,28,Welwitschias,Namibia,Rugby World Cup 2019
André Rademeyer,Prop,3,Welwitschias,Namibia,Rugby World Cup 2019
Des Sethie,Prop,12,Welwitschias,Namibia,Rugby World Cup 2019
Nelius Theron,Prop,5,Leopards,Namibia,Rugby World Cup 2019
Johan Retief,Lock,7,Leopards,Namibia,Rugby World Cup 2019
Tjiuee Uanivi,Lock,30,Massy,Namibia,Rugby World Cup 2019
PJ van Lill,Lock,49,Bayonne,Namibia,Rugby World Cup 2019
Adriaan Booysen,Loose forward,5,Welwitschias,Namibia,Rugby World Cup 2019
Wian Conradie,Loose forward,17,Welwitschias,Namibia,Rugby World Cup 2019
Thomasau Forbes,Loose forward,17,Welwitschias,Namibia,Rugby World Cup 2019
Prince ǃGaoseb,Loose forward,2,Welwitschias,Namibia,Rugby World Cup 2019
Max Katjijeko,Loose forward,13,Welwitschias,Namibia,Rugby World Cup 2019
Rohan Kitshoff,Loose forward,44,Welwitschias,Namibia,Rugby World Cup 2019
Janco Venter,Loose forward,25,Jersey Reds,Namibia,Rugby World Cup 2019
Eugene Jantjies,Scrum-half,67,Welwitschias,Namibia,Rugby World Cup 2019
Damian Stevens,Scrum-half,25,Boland Cavaliers,Namibia,Rugby World Cup 2019
TC Kisting,Fly-half,8,Baia Mare,Namibia,Rugby World Cup 2019
Cliven Loubser,Fly-half,15,Welwitschias,Namibia,Rugby World Cup 2019
Darryl de la Harpe,Centre,48,Welwitschias,Namibia,Rugby World Cup 2019
Johan Deysel,Centre,24,Colomiers,Namibia,Rugby World Cup 2019
Justin Newman,Centre,14,Welwitschias,Namibia,Rugby World Cup 2019
Janry du Toit,Centre,2,Welwitschias,Namibia,Rugby World Cup 2019
JC Greyling,Wing,32,Welwitschias,Namibia,Rugby World Cup 2019
Lesley Klim,Wing,11,Ospreys,Namibia,Rugby World Cup 2019
PJ Walters,Wing,0,Welwitschias,Namibia,Rugby World Cup 2019
Chad Plato,Fullback,2,Welwitschias,Namibia,Rugby World Cup 2019
Johann Tromp,Fullback,40,Welwitschias,Namibia,Rugby World Cup 2019
Dane Coles,Hooker,64,Hurricanes,New Zealand,Rugby World Cup 2019
Liam Coltman,Hooker,6,Highlanders,New Zealand,Rugby World Cup 2019
Codie Taylor,Hooker,45,Crusaders,New Zealand,Rugby World Cup 2019
Nepo Laulala,Prop,20,Chiefs,New Zealand,Rugby World Cup 2019
Joe Moody,Prop,41,Crusaders,New Zealand,Rugby World Cup 2019
Atu Moli,Prop,2,Chiefs,New Zealand,Rugby World Cup 2019
Angus Ta'avao,Prop,8,Chiefs,New Zealand,Rugby World Cup 2019
Ofa Tu'ungafasi,Prop,30,Blues,New Zealand,Rugby World Cup 2019
Scott Barrett,Lock,31,Crusaders,New Zealand,Rugby World Cup 2019
Brodie Retallick,Lock,77,Chiefs,New Zealand,Rugby World Cup 2019
Patrick Tuipulotu,Lock,25,Blues,New Zealand,Rugby World Cup 2019
Sam Whitelock,Lock,112,Crusaders,New Zealand,Rugby World Cup 2019
Sam Cane,Loose forward,63,Chiefs,New Zealand,Rugby World Cup 2019
Shannon Frizell,Loose forward,5,Highlanders,New Zealand,Rugby World Cup 2019
Luke Jacobson,Loose forward,2,Chiefs,New Zealand,Rugby World Cup 2019
Kieran Read,Loose forward,122,Crusaders,New Zealand,Rugby World Cup 2019
Ardie Savea,Loose forward,39,Hurricanes,New Zealand,Rugby World Cup 2019
Matt Todd,Loose forward,21,Crusaders,New Zealand,Rugby World Cup 2019
TJ Perenara,Scrum-half,59,Hurricanes,New Zealand,Rugby World Cup 2019
Aaron Smith,Scrum-half,87,Highlanders,New Zealand,Rugby World Cup 2019
Brad Weber,Scrum-half,2,Chiefs,New Zealand,Rugby World Cup 2019
Beauden Barrett,Fly-half,78,Blues,New Zealand,Rugby World Cup 2019
Richie Mo'unga,Fly-half,12,Crusaders,New Zealand,Rugby World Cup 2019
Ryan Crotty,Centre,45,Crusaders,New Zealand,Rugby World Cup 2019
Jack Goodhue,Centre,9,Crusaders,New Zealand,Rugby World Cup 2019
Anton Lienert-Brown,Centre,38,Chiefs,New Zealand,Rugby World Cup 2019
Sonny Bill Williams,Centre,53,Blues,New Zealand,Rugby World Cup 2019
George Bridge,Wing,5,Crusaders,New Zealand,Rugby World Cup 2019
Rieko Ioane,Wing,26,Blues,New Zealand,Rugby World Cup 2019
Sevu Reece,Wing,3,Crusaders,New Zealand,Rugby World Cup 2019
Jordie Barrett,Fullback,12,Hurricanes,New Zealand,Rugby World Cup 2019
Ben Smith,Fullback,80,Highlanders,New Zealand,Rugby World Cup 2019
Schalk Brits,Hooker,13,Bulls,South Africa,Rugby World Cup 2019
Malcolm Marx,Hooker,27,Lions,South Africa,Rugby World Cup 2019
Bongi Mbonambi,Hooker,30,Stormers,South Africa,Rugby World Cup 2019
Thomas du Toit,Prop,10,Toulouse,South Africa,Rugby World Cup 2019
Steven Kitshoff,Prop,40,Stormers,South Africa,Rugby World Cup 2019
Vincent Koch,Prop,15,Saracens,South Africa,Rugby World Cup 2019
Frans Malherbe,Prop,32,Stormers,South Africa,Rugby World Cup 2019
Tendai Mtawarira,Prop,111,Sharks,South Africa,Rugby World Cup 2019
Trevor Nyakane,Prop,41,Bulls,South Africa,Rugby World Cup 2019
Lood de Jager,Lock,40,Bulls,South Africa,Rugby World Cup 2019
Eben Etzebeth,Lock,79,Stormers,South Africa,Rugby World Cup 2019
Franco Mostert,Lock,32,Gloucester,South Africa,Rugby World Cup 2019
RG Snyman,Lock,16,Bulls,South Africa,Rugby World Cup 2019
Pieter-Steph du Toit,Loose forward,50,Stormers,South Africa,Rugby World Cup 2019
Siya Kolisi,Loose forward,43,Stormers,South Africa,Rugby World Cup 2019
Francois Louw,Loose forward,69,Bath,South Africa,Rugby World Cup 2019
Kwagga Smith,Loose forward,4,Lions,South Africa,Rugby World Cup 2019
Duane Vermeulen,Loose forward,49,Bulls,South Africa,Rugby World Cup 2019
Faf de Klerk,Scrum-half,25,Sale Sharks,South Africa,Rugby World Cup 2019
Herschel Jantjies,Scrum-half,4,Stormers,South Africa,Rugby World Cup 2019
Cobus Reinach,Scrum-half,12,Northampton Saints,South Africa,Rugby World Cup 2019
Elton Jantjies,Fly-half,35,Lions,South Africa,Rugby World Cup 2019
Handré Pollard,Fly-half,42,Bulls,South Africa,Rugby World Cup 2019
Damian Willemse,Fly-half,5,Stormers,South Africa,Rugby World Cup 2019
Lukhanyo Am,Centre,9,Sharks,South Africa,Rugby World Cup 2019
Damian de Allende,Centre,40,Stormers,South Africa,Rugby World Cup 2019
Jesse Kriel,Centre,45,Bulls,South Africa,Rugby World Cup 2019
François Steyn,Centre,61,Montpellier,South Africa,Rugby World Cup 2019
Cheslin Kolbe,Wing,10,Toulouse,South Africa,Rugby World Cup 2019
Makazole Mapimpi,Wing,8,Sharks,South Africa,Rugby World Cup 2019
S'busiso Nkosi,Wing,8,Sharks,South Africa,Rugby World Cup 2019
Warrick Gelant,Fullback,7,Bulls,South Africa,Rugby World Cup 2019
Willie le Roux,Fullback,56,Toyota Verblitz,South Africa,Rugby World Cup 2019
Agustín Creevy,Hooker,85,Jaguares,Argentina,Rugby World Cup 2019
Julián Montoya,Hooker,55,Jaguares,Argentina,Rugby World Cup 2019
Santiago Socino,Hooker,2,Jaguares,Argentina,Rugby World Cup 2019
Nahuel Tetaz Chaparro,Prop,54,Jaguares,Argentina,Rugby World Cup 2019
Juan Figallo,Prop,30,Saracens,Argentina,Rugby World Cup 2019
Santiago Medrano,Prop,14,Jaguares,Argentina,Rugby World Cup 2019
Enrique Pieretto,Prop,23,Jaguares,Argentina,Rugby World Cup 2019
Mayco Vivas,Prop,4,Jaguares,Argentina,Rugby World Cup 2019
Matías Alemanno,Lock,57,Jaguares,Argentina,Rugby World Cup 2019
Tomás Lavanini,Lock,53,Jaguares,Argentina,Rugby World Cup 2019
Guido Petti,Lock,49,Jaguares,Argentina,Rugby World Cup 2019
Rodrigo Bruni,Back row,3,Jaguares,Argentina,Rugby World Cup 2019
Marcos Kremer,Back row,24,Jaguares,Argentina,Rugby World Cup 2019
Juan Manuel Leguizamón,Back row,86,Jaguares,Argentina,Rugby World Cup 2019
Tomás Lezana,Back row,34,Jaguares,Argentina,Rugby World Cup 2019
Pablo Matera,Back row,62,Jaguares,Argentina,Rugby World Cup 2019
Javier Ortega Desio,Back row,54,Jaguares,Argentina,Rugby World Cup 2019
Gonzalo Bertranou,Scrum-half,21,Jaguares,Argentina,Rugby World Cup 2019
Tomás Cubelli,Scrum-half,72,Jaguares,Argentina,Rugby World Cup 2019
Felipe Ezcurra,Scrum-half,5,Hindú,Argentina,Rugby World Cup 2019
Nicolás Sánchez,Fly-half,77,Stade Français,Argentina,Rugby World Cup 2019
Benjamín Urdapilleta,Fly-half,12,Castres,Argentina,Rugby World Cup 2019
Santiago Carreras,Fly-half,1,Jaguares,Argentina,Rugby World Cup 2019
Jerónimo de la Fuente,Centre,50,Jaguares,Argentina,Rugby World Cup 2019
Juan Cruz Mallia,Centre,4,Jaguares,Argentina,Rugby World Cup 2019
Lucas Mensa,Centre,1,Pucará,Argentina,Rugby World Cup 2019
Matías Moroni,Centre,43,Jaguares,Argentina,Rugby World Cup 2019
Matías Orlando,Centre,41,Jaguares,Argentina,Rugby World Cup 2019
Emiliano Boffelli,Wing,25,Jaguares,Argentina,Rugby World Cup 2019
Bautista Delguy,Wing,11,Jaguares,Argentina,Rugby World Cup 2019
Ramiro Moyano,Wing,34,Jaguares,Argentina,Rugby World Cup 2019
Joaquín Tuculet,Fullback,55,Jaguares,Argentina,Rugby World Cup 2019
Luke Cowan-Dickie,Hooker,15,Exeter Chiefs,England,Rugby World Cup 2019
Jamie George,Hooker,40,Saracens,England,Rugby World Cup 2019
Jack Singleton,Hooker,2,Saracens,England,Rugby World Cup 2019
Dan Cole,Prop,89,Leicester Tigers,England,Rugby World Cup 2019
Ellis Genge,Prop,12,Leicester Tigers,England,Rugby World Cup 2019
Joe Marler,Prop,62,Harlequins,England,Rugby World Cup 2019
Kyle Sinckler,Prop,25,Harlequins,England,Rugby World Cup 2019
Mako Vunipola,Prop,54,Saracens,England,Rugby World Cup 2019
Maro Itoje,Lock,29,Saracens,England,Rugby World Cup 2019
George Kruis,Lock,35,Saracens,England,Rugby World Cup 2019
Joe Launchbury,Lock,61,Wasps,England,Rugby World Cup 2019
Courtney Lawes,Lock,75,Northampton Saints,England,Rugby World Cup 2019
Tom Curry,Back row,13,Sale Sharks,England,Rugby World Cup 2019
Lewis Ludlam,Back row,2,Northampton Saints,England,Rugby World Cup 2019
Sam Underhill,Back row,10,Bath,England,Rugby World Cup 2019
Mark Wilson,Back row,15,Sale Sharks,England,Rugby World Cup 2019
Billy Vunipola,Back row,45,Saracens,England,Rugby World Cup 2019
Willi Heinz,Scrum-half,4,Gloucester,England,Rugby World Cup 2019
Ben Spencer,Scrum-half,3,Saracens,England,Rugby World Cup 2019
Ben Youngs,Scrum-half,89,Leicester Tigers,England,Rugby World Cup 2019
Owen Farrell,Fly-half,73,Saracens,England,Rugby World Cup 2019
George Ford,Fly-half,59,Leicester Tigers,England,Rugby World Cup 2019
Piers Francis,Centre,8,Northampton Saints,England,Rugby World Cup 2019
Jonathan Joseph,Centre,42,Bath,England,Rugby World Cup 2019
Henry Slade,Centre,22,Exeter Chiefs,England,Rugby World Cup 2019
Manu Tuilagi,Centre,35,Leicester Tigers,England,Rugby World Cup 2019
