title,title_en,position,team_name,height,weight,birthday,age,school,shusshin,shikaku,type,url,career_history,caps,representative_team,scraped_url,career_history_en,name_en,name_jp,league
M. Street,M. Street,Prop,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),M. Street,,premiership
K. Sylvester-Junior,K. Sylvester-Junior,Lock,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),K. Sylvester-Junior,,premiership
H. Tizard,H. Tizard,Lock,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),H. Tizard,,premiership
Tietie Tuimauga,Tietie Tuimauga,Prop,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),Tietie Tuimauga,,premiership
C. West,C. West,Flanker,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),C. West,,premiership
T. Willis,T. Willis,No. 8,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),T. Willis,,premiership
H. Wilson,H. Wilson,Lock,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),H. Wilson,,premiership
L. Young,L. Young,Hooker,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),L. Young,,premiership
C. Bracken,C. Bracken,Scrum-half,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),C. Bracken,,premiership
J. Bracken,J. Bracken,Wing,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),J. Bracken,,premiership
Fergus Burke,Fergus Burke,Fly-half,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),Fergus Burke,,premiership
N. Caluori,N. Caluori,Wing,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),N. Caluori,,premiership
Lucio Cinti,Lucio Cinti,Centre,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),Lucio Cinti,,premiership
E. Daly,E. Daly,Centre,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),E. Daly,,premiership
L. Davidson,L. Davidson,Fly-half,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),L. Davidson,,premiership
T. Elliott,T. Elliott,Wing,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),T. Elliott,,premiership
Owen Farrell,Owen Farrell,Fly-half,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),Owen Farrell,,premiership
A. Hall,A. Hall,Centre,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),A. Hall,,premiership
O. Hartley,O. Hartley,Centre,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),O. Hartley,,premiership
C. Hutchison,C. Hutchison,Centre,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),C. Hutchison,,premiership
B. Jackson,B. Jackson,Wing,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),B. Jackson,,premiership
L. Johnson,L. Johnson,Fly-half,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),L. Johnson,,premiership
S. Kava,S. Kava,Wing,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),S. Kava,,premiership
F. Keylock,F. Keylock,Fly-half,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),F. Keylock,,premiership
Alex Lozowski,Alex Lozowski,Centre,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),Alex Lozowski,,premiership
Max Malins,Max Malins,Wing,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),Max Malins,,premiership
B. Morrow,B. Morrow,Wing,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),B. Morrow,,premiership
R. Segun,R. Segun,Wing,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),R. Segun,,premiership
G. Simpson,G. Simpson,Scrum-half,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),G. Simpson,,premiership
S. Spink,S. Spink,Centre,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),S. Spink,,premiership
Nick Tompkins,Nick Tompkins,Centre,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),Nick Tompkins,,premiership
Ivan van Zyl,Ivan van Zyl,Scrum-half,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),Ivan van Zyl,,premiership
