name_en,name_jp,title,representative_team,latest_caps,last_club,tournaments,league
16,,16,Player representation by nation,0,—,"Rugby World Cup 2019, Rugby World Cup 2023",international
16,,16,Players representation by league,25,2.5%,Rugby World Cup 2019,international
17,,17,Player representation by club,0,Leinster,"Rugby World Cup 2015, Rugby World Cup 2023",international
17,,17,Player representation by league,26,1,"Rugby World Cup 2015, Rugby World Cup 2023",international
17,,17,Player representation by nation,0,—,Rugby World Cup 2023,international
18,,18,Player representation by club,0,Leinster,Rugby World Cup 2023,international
18,,18,Player representation by league,0,—,Rugby World Cup 2015,international
19,,19,Player representation by club,0,Moana Pasifika,Rugby World Cup 2023,international
19,,19,Player representation by league,0,—,Rugby World Cup 2015,international
20,,20,Player representation by club,0,Welwitschias,"Rugby World Cup 2019, Rugby World Cup 2023",international
20,,20,Player representation by nation,0,—,Rugby World Cup 2019,international
20,,20,Players representation by league,32,3.2%,Rugby World Cup 2019,international
21,,21,Player representation by club,0,"Glasgow Warriors,  UAR","Rugby World Cup 2015, Rugby World Cup 2023",international
21,,21,Player representation by league,15,15,Rugby World Cup 2015,international
22,,22,Player representation by league,3,2,"Rugby World Cup 2011, Rugby World Cup 2015",international
23,,23,Player representation by nation,3,3,Rugby World Cup 2023,international
24,,24,Player representation by league,36,3.6%,Rugby World Cup 2023,international
24,,24,Player representation by nation,7,1,Rugby World Cup 2023,international
25,,25,Player representation by nation,0,—,Rugby World Cup 2023,international
26,,26,Player representation by club,0,Jaguares,Rugby World Cup 2019,international
26,,26,Player representation by league,5,"Australia, United States, Wales","Rugby World Cup 2011, Rugby World Cup 2015",international
26,,26,Player representation by nation,1,1,Rugby World Cup 2019,international
27,,27,Player representation by league,0,"Canada, Fiji, Georgia, Namibia, Russia",Rugby World Cup 2011,international
28,,28,Player representation by club,0,Selknam,Rugby World Cup 2023,international
28,,28,Player representation by league,7,"Argentina, England, France, Italy, Japan, New Zealand, Romania, Samoa, Scotland, South Africa, Tonga","Rugby World Cup 2011, Rugby World Cup 2015",international
28,,28,Player representation by nation,18,5,"Rugby World Cup 2019, Rugby World Cup 2023",international
28,,28,Players representation by league,45,4.5%,Rugby World Cup 2019,international
29,,29,Player representation by league,5,Ireland,"Rugby World Cup 2011, Rugby World Cup 2015",international
29,,29,Player representation by nation,1,1,Rugby World Cup 2019,international
30,,30,Player representation by nation,0,—,Rugby World Cup 2023,international
31,,31,Player representation by league,47,4.7%,Rugby World Cup 2023,international
31,,31,Player representation by nation,3,—,"Rugby World Cup 2019, Rugby World Cup 2023",international
31,,31,Players representation by league,50,5.0%,Rugby World Cup 2019,international
32,,32,Player representation by league,48,4.8%,Rugby World Cup 2023,international
32,,32,Player representation by nation,5,5,"Rugby World Cup 2019, Rugby World Cup 2023",international
32,,32,Players representation by league,51,5.1%,Rugby World Cup 2019,international
33,,33,Player representation by league,5,5,Rugby World Cup 2015,international
34,,34,Player representation by nation,3,3,Rugby World Cup 2019,international
35,,35,Player representation by league,8,5,Rugby World Cup 2011,international
36,,36,Player representation by league,7,7,"Rugby World Cup 2011, Rugby World Cup 2015",international
37,,37,Player representation by nation,5,5,Rugby World Cup 2023,international
37,,37,Players representation by league,59,5.9%,Rugby World Cup 2019,international
38,,38,Player representation by nation,8,8,Rugby World Cup 2019,international
380 Players,,380 Players,By tournaments,0,0,Rugby World Cup 2015,international
41,,41,Player representation by nation,10,10,Rugby World Cup 2019,international
48,,48,Player representation by league,18,18,Rugby World Cup 2011,international
49,,49,Player representation by league,74,7.4%,Rugby World Cup 2023,international
50,,50,Player representation by league,76,7.6%,Rugby World Cup 2023,international
50,,50,Player representation by nation,17,17,Rugby World Cup 2023,international
57,,57,Player representation by nation,24,24,Rugby World Cup 2023,international
600,,600,Player representation by league,0,,Rugby World Cup 2011,international
62 Players,,62 Players,By tournaments,2,2,Rugby World Cup 2015,international
620,,620,Player representation by league,0,—,Rugby World Cup 2015,international
620,,620,Player representation by nation,0,—,Rugby World Cup 2019,international
620,,620,Players representation by league,0,—,Rugby World Cup 2019,international
64,,64,Player representation by league,96,9.6%,Rugby World Cup 2023,international
64,,64,Player representation by nation,36,36,Rugby World Cup 2023,international
660,,660,Player representation by league,0,—,Rugby World Cup 2023,international
660,,660,Player representation by nation,0,—,Rugby World Cup 2023,international
74,,74,Players representation by league,119,11.9%,Rugby World Cup 2019,international
78,,78,Players representation by league,125,12.5%,Rugby World Cup 2019,international
81,,81,Player representation by league,55,55,Rugby World Cup 2011,international
88,,88,Player representation by nation,57,57,Rugby World Cup 2019,international
90,,90,Player representation by league,0,,Rugby World Cup 2011,international
96,,96,Player representation by nation,65,65,Rugby World Cup 2019,international
AJ Alatimu,,AJ Alatimu,Samoa,5,Western Force,Rugby World Cup 2019,international
AJ MacGinty,,AJ MacGinty,United States,24,Life University,"Rugby World Cup 2015, Rugby World Cup 2019",premiership
AJ de Klerk,,AJ de Klerk,Namibia,28,Wanderers,"Rugby World Cup 2015, Rugby World Cup 2019",international
Aaron Carpenter,,Aaron Carpenter,Canada,67,Brantford,"Rugby World Cup 2007, Rugby World Cup 2011, Rugby World Cup 2015",international
Aaron Cruden,,Aaron Cruden,New Zealand,7,Hurricanes,Rugby World Cup 2011,international
Aaron Jarvis,,Aaron Jarvis,Wales,13,Ospreys,Rugby World Cup 2015,international
Aaron Mauger,,Aaron Mauger,New Zealand,42,Canterbury,Rugby World Cup 2007,international
Aaron Shingler,,Aaron Shingler,Wales,20,Scarlets,Rugby World Cup 2019,international
Aaron Smith,,Aaron Smith,New Zealand,119,Highlanders / Manawatu,"Rugby World Cup 2015, Rugby World Cup 2019, Rugby World Cup 2023",league-one
Aaron Wainwright,,Aaron Wainwright,Wales,52,Dragons,"Rugby World Cup 2019, Rugby World Cup 2023, Six Nations 2024, Six Nations 2025",urc
Aca Ratuva,,Aca Ratuva,Fiji,11,Massy,Rugby World Cup 2007,international
Adam Ashley-Cooper,,Adam Ashley-Cooper,Australia,119,Brumbies,"Rugby World Cup 2007, Rugby World Cup 2011, Rugby World Cup 2015, Rugby World Cup 2019",international
Adam Beard,,Adam Beard,Wales,51,Ospreys,"Rugby World Cup 2019, Rugby World Cup 2023, Six Nations 2024",top14
Adam Byrnes,,Adam Byrnes,Russia,0,Melbourne Rebels,Rugby World Cup 2011,international
Adam Coleman,,Adam Coleman,Australia,34,Melbourne Rebels,Rugby World Cup 2019,top14
Adam Coleman,,Adam Coleman,Nationality changes between World Cups,0,,Rugby World Cup 2023,top14
Adam Coleman,,Adam Coleman,Squad caps,407,Adam Coleman,Rugby World Cup 2023,top14
Adam Coleman,,Adam Coleman,Tonga,0,Bordeaux,Rugby World Cup 2023,top14
Adam Freier,,Adam Freier,Australia,15,Waratahs,Rugby World Cup 2007,international
Adam Hastings,,Adam Hastings,Call-ups,31,Glasgow Warriors,Six Nations 2025,urc
Adam Hastings,,Adam Hastings,Scotland,27,Glasgow Warriors,"Rugby World Cup 2019, Six Nations 2024",urc
Adam Jones,,Adam Jones,Wales,70,Ospreys,"Rugby World Cup 2007, Rugby World Cup 2011",international
Adam Kleeberger,,Adam Kleeberger,Canada,31,University of Victoria,"Rugby World Cup 2007, Rugby World Cup 2011",international
Adam Thomson,,Adam Thomson,New Zealand,24,Highlanders,Rugby World Cup 2011,international
Adriaan Booysen,,Adriaan Booysen,Namibia,24,Welwitschias,"Rugby World Cup 2019, Rugby World Cup 2023",international
Adriaan Ludick,,Adriaan Ludick,Namibia,9,Limoges,Rugby World Cup 2023,international
Adriaan Strauss,,Adriaan Strauss,South Africa,48,Bulls,Rugby World Cup 2015,international
Adrian Apostol,,Adrian Apostol,Romania,19,Farul Constanța,"Rugby World Cup 2011, Rugby World Cup 2015",international
Adrian Moțoc,,Adrian Moțoc,Romania,27,Biarritz,Rugby World Cup 2023,international
Afa Amosa,,Afa Amosa,Samoa,3,Bordeaux-Bègles,Rugby World Cup 2019,international
Afusipa Taumoepeau,,Afusipa Taumoepeau,Tonga,12,Perpignan,Rugby World Cup 2023,international
Agustin Gosio,,Agustin Gosio,Argentina,0,Newman,Rugby World Cup 2011,international
Agustín Alonso,,Agustín Alonso,Uruguay,12,Montevideo,Rugby World Cup 2015,international
Agustín Creevy,,Agustín Creevy,Argentina,101,Montpellier,"Rugby World Cup 2011, Rugby World Cup 2015, Rugby World Cup 2019, Rugby World Cup 2023",international
Agustín Della Corte,,Agustín Della Corte,Uruguay,8,Trébol de Paysandú,Rugby World Cup 2019,international
Agustín Ormaechea,,Agustín Ormaechea,Uruguay,56,Stade Montois,"Rugby World Cup 2015, Rugby World Cup 2019, Rugby World Cup 2023",international
Agustín Pichot,,Agustín Pichot,Argentina,65,Stade Français,Rugby World Cup 2007,international
Ahsee Tuala,,Ahsee Tuala,Samoa,20,Northampton Saints,Rugby World Cup 2019,international
Aisea Havili,,Aisea Havili,Tonga,11,Worcester,Rugby World Cup 2007,international
Aka Tabutsadze,,Aka Tabutsadze,Georgia,31,Black Lion,Rugby World Cup 2023,international
Akapusi Qera,,Akapusi Qera,Fiji,47,Pertemps Bees,"Rugby World Cup 2007, Rugby World Cup 2011, Rugby World Cup 2015",international
Akihito Yamada,,Akihito Yamada,Japan,13,Panasonic Wild Knights,Rugby World Cup 2015,nan
Akona Ndungane,,Akona Ndungane,South Africa,8,Bulls,Rugby World Cup 2007,international
Akvsenti Giorgadze,,Akvsenti Giorgadze,Georgia,62,Castres,"Rugby World Cup 2007, Rugby World Cup 2011",international
Al Baxter,,Al Baxter,Australia,47,Waratahs,Rugby World Cup 2007,international
Alafoti Faosiliva,,Alafoti Faosiliva,Samoa,13,Bath,Rugby World Cup 2015,international
Alamanda Motuga,,Alamanda Motuga,Samoa,5,Manurewa RFC,"Rugby World Cup 2019, Rugby World Cup 2023",international
Alan Quinlan,,Alan Quinlan,Ireland,25,Munster,Rugby World Cup 2007,international
Alapati Leiua,,Alapati Leiua,Samoa,27,Bristol Bears,Rugby World Cup 2019,international
Alasdair Dickinson,,Alasdair Dickinson,Scotland,47,Edinburgh,"Rugby World Cup 2007, Rugby World Cup 2011, Rugby World Cup 2015",international
Alasdair Strokosch,,Alasdair Strokosch,Scotland,46,Gloucester,"Rugby World Cup 2011, Rugby World Cup 2015",international
Alaska Taufa,,Alaska Taufa,Tonga,5,Akita,Rugby World Cup 2011,international
Alastair Kellock,,Alastair Kellock,Scotland,34,Glasgow Warriors,Rugby World Cup 2011,international
Alastair McFarland,,Alastair McFarland,United States,5,NYAC,Rugby World Cup 2015,international
Albert Tuipulotu,,Albert Tuipulotu,United States,16,San Mateo,Rugby World Cup 2007,international
Albert Tuisue,,Albert Tuisue,Fiji,19,Gloucester,Rugby World Cup 2023,international
Albert Vulivuli,,Albert Vulivuli,Fiji,7,Racing Métro,Rugby World Cup 2011,international
Albert van den Berg,,Albert van den Berg,South Africa,46,Sharks,Rugby World Cup 2007,international
Alberto De Marchi,,Alberto De Marchi,Italy,28,Benetton Treviso,Rugby World Cup 2015,international
Alberto Román,,Alberto Román,Uruguay,36,Pucaru Stade Gaulois,Rugby World Cup 2015,international
Alberto Sgarbi,,Alberto Sgarbi,Italy,13,Benetton Treviso,Rugby World Cup 2011,international
Alberto Vernet Basualdo,,Alberto Vernet Basualdo,Argentina,4,Alumni,Rugby World Cup 2007,international
Alcino Izaacs,,Alcino Izaacs,Namibia,3,Boland Cavaliers,Rugby World Cup 2023,international
Alec Hepburn,,Alec Hepburn,Scotland,0,Exeter Chiefs,Six Nations 2024,urc
Alec Parker,,Alec Parker,United States,46,Gentlemen of Aspen,Rugby World Cup 2007,international
Aled Brew,,Aled Brew,Wales,7,Newport Gwent Dragons,Rugby World Cup 2011,international
Aled Davies,,Aled Davies,Wales,19,Ospreys,Rugby World Cup 2019,urc
Alefoso Yalayalatabua,,Alefoso Yalayalatabua,Fiji,4,Warriors,Rugby World Cup 2007,international
Alejandro Campos,,Alejandro Campos,Argentina,12,Agen,Rugby World Cup 2011,international
Alejandro Nieto,,Alejandro Nieto,Uruguay,69,Champagnat,"Rugby World Cup 2015, Rugby World Cup 2019",international
Alejo Corral,,Alejo Corral,Uruguay,47,San Isidro,Rugby World Cup 2015,international
Alejo Durán,,Alejo Durán,Uruguay,31,Trébol de Paysandú,Rugby World Cup 2015,international
Aleki Lutui,,Aleki Lutui,Squad caps,300,"Aleki Lutui, Ephraim Taukafa",Rugby World Cup 2011,international
Aleki Lutui,,Aleki Lutui,Tonga,36,Worcester,"Rugby World Cup 2007, Rugby World Cup 2011, Rugby World Cup 2015",international
Alesana Tuilagi,,Alesana Tuilagi,Samoa,34,Leicester Tigers,"Rugby World Cup 2007, Rugby World Cup 2011, Rugby World Cup 2015",international
Alessandro Fusco,,Alessandro Fusco,Italy,15,Zebre Parma,Rugby World Cup 2023,urc
Alessandro Garbisi,,Alessandro Garbisi,Italy,14,Benetton,"Rugby World Cup 2023, Six Nations 2024, Six Nations 2025",urc
Alessandro Izekor,,Alessandro Izekor,Italy,6,Benetton,"Six Nations 2024, Six Nations 2025",urc
Alessandro Troncon,,Alessandro Troncon,Italy,97,Clermont Auvergne,Rugby World Cup 2007,international
Alessandro Zanni,,Alessandro Zanni,Italy,115,Calvisano,"Rugby World Cup 2007, Rugby World Cup 2011, Rugby World Cup 2015, Rugby World Cup 2019",international
Alex Coles,,Alex Coles,England,7,Northampton Saints,"Six Nations 2024, Six Nations 2025",premiership
Alex Corbisiero,,Alex Corbisiero,England,6,London Irish,Rugby World Cup 2011,international
Alex Craig,,Alex Craig,Call-ups,2,Scarlets,Six Nations 2024,urc
Alex Cuthbert,,Alex Cuthbert,Wales,35,Cardiff Blues,Rugby World Cup 2015,international
Alex Dombrandt,,Alex Dombrandt,England,20,Harlequins,"Six Nations 2024, Six Nations 2025",premiership
Alex Goode,,Alex Goode,England,18,Saracens,Rugby World Cup 2015,international
Alex Lozowski,,Alex Lozowski,Call-ups,5,Saracens,Six Nations 2025,premiership
Alex Mann,,Alex Mann,Wales,0,Cardiff,Six Nations 2024,urc
Alex Masibaka,,Alex Masibaka,Call-ups,0,Soyaux Angoulême,Six Nations 2025,top14
Alex Mitchell,,Alex Mitchell,England,18,Northampton Saints,"Rugby World Cup 2023, Six Nations 2024, Six Nations 2025",premiership
Alex Samuel,,Alex Samuel,Call-ups,0,Glasgow Warriors,Six Nations 2024,urc
Alexander Khrokin,,Alexander Khrokin,Russia,67,VVA Podmoskovye,Rugby World Cup 2011,international
Alexander Khrokin,,Alexander Khrokin,Squad caps,820,Alexander Khrokin,Rugby World Cup 2011,international
Alexander Shakirov,,Alexander Shakirov,Russia,46,VVA Podmoskovye,Rugby World Cup 2011,international
Alexander Todua,,Alexander Todua,Georgia,108,Lelo,"Rugby World Cup 2011, Rugby World Cup 2015, Rugby World Cup 2019, Rugby World Cup 2023",international
Alexander Voytov,,Alexander Voytov,Russia,44,VVA Podmoskovye,Rugby World Cup 2011,international
Alexander Yanyushkin,,Alexander Yanyushkin,Russia,42,VVA Podmoskovye,Rugby World Cup 2011,international
Alexandre Dumoulin,,Alexandre Dumoulin,France,4,Racing,Rugby World Cup 2015,international
Alexandre Dumoulin,,Alexandre Dumoulin,Squad caps,1002,Alexandre Dumoulin Sofiane Guitoune Noa Nakaitaci,Rugby World Cup 2015,international
Alexandre Flanquart,,Alexandre Flanquart,France,15,Stade Français,Rugby World Cup 2015,international
Alexandre Roumat,,Alexandre Roumat,Call-ups,7,Toulouse,"Six Nations 2024, Six Nations 2025",top14
Alexandru Bucur,,Alexandru Bucur,Romania,15,Știința Baia Mare,Rugby World Cup 2023,international
Alexandru Gordaș,,Alexandru Gordaș,Romania,35,Dinamo București,Rugby World Cup 2023,international
Alexandru Manta,,Alexandru Manta,Romania,23,Castres,Rugby World Cup 2007,international
Alexandru Savin,,Alexandru Savin,Romania,25,Steaua București,Rugby World Cup 2023,international
Alexandru Tudori,,Alexandru Tudori,Romania,29,Dinamo București,Rugby World Cup 2007,international
Alexandru Țăruș,,Alexandru Țăruș,Romania,7,Timișoara Saracens,Rugby World Cup 2015,international
Alexei Travkin,,Alexei Travkin,Russia,46,VVA Podmoskovye,Rugby World Cup 2011,international
Alexey Makovetskiy,,Alexey Makovetskiy,Russia,11,Krasny Yar,Rugby World Cup 2011,international
Alexis Palisson,,Alexis Palisson,France,16,Toulon,Rugby World Cup 2011,international
Alfie To'oala,,Alfie To'oala,Samoa,1,Bristol,Rugby World Cup 2007,international
Alfonso Escobar,,Alfonso Escobar,Chile,18,Selknam,Rugby World Cup 2023,international
Alfredo Lalanne,,Alfredo Lalanne,Argentina,7,Unattached,Rugby World Cup 2011,international
Ali Price,,Ali Price,Scotland,66,Glasgow Warriors,"Rugby World Cup 2019, Rugby World Cup 2023, Six Nations 2024",top14
Ali Williams,,Ali Williams,New Zealand,71,Auckland,"Rugby World Cup 2007, Rugby World Cup 2011",international
Alin Conache,,Alin Conache,Romania,5,Timișoara,Rugby World Cup 2023,international
Alipate Fatafehi,,Alipate Fatafehi,Tonga,7,Lyon,Rugby World Cup 2011,international
Alisi Tupuailei,,Alisi Tupuailei,Japan,16,Canon Eagles,Rugby World Cup 2011,international
Alister Campbell,,Alister Campbell,Australia,4,Brumbies,Rugby World Cup 2007,international
Alivereti Raka,,Alivereti Raka,France,2,Clermont Auvergne,Rugby World Cup 2019,top14
Alivereti Veitokani,,Alivereti Veitokani,Fiji,8,London Irish,Rugby World Cup 2019,international
Alix Popham,,Alix Popham,Wales,30,Llanelli Scarlets,Rugby World Cup 2007,international
Allan Alaalatoa,,Allan Alaalatoa,Australia,33,Brumbies,Rugby World Cup 2019,nan
Allan Dell,,Allan Dell,Scotland,25,London Irish,Rugby World Cup 2019,international
Allan Jacobsen,,Allan Jacobsen,Scotland,56,Edinburgh,"Rugby World Cup 2007, Rugby World Cup 2011",international
Ally Hogg,,Ally Hogg,Scotland,35,Edinburgh,Rugby World Cup 2007,international
Ally Miller,,Ally Miller,Call-ups,0,Glasgow Warriors,Six Nations 2024,urc
Alun Wyn Jones,,Alun Wyn Jones,Wales,128,Ospreys,"Rugby World Cup 2007, Rugby World Cup 2011, Rugby World Cup 2015, Rugby World Cup 2019",international
Amanaki Mafi,,Amanaki Mafi,Japan,25,NTT Communications Shining Arcs,"Rugby World Cup 2015, Rugby World Cup 2019",premiership
Amanaki Mafi,,Amanaki Mafi,Squad caps,1016,Amanaki Mafi,Rugby World Cup 2015,premiership
Amanaki Saumaki,,Amanaki Saumaki,Japan,1,Kobelco Kobe Steelers,Rugby World Cup 2023,league-one
Amato Fakatava,,Amato Fakatava,Japan,3,Black Rams Tokyo,Rugby World Cup 2023,nan
Ander Monro,,Ander Monro,Canada,26,Waterloo,"Rugby World Cup 2007, Rugby World Cup 2011",international
Andrea Lo Cicero,,Andrea Lo Cicero,Italy,88,L'Aquila,"Rugby World Cup 2007, Rugby World Cup 2011",international
Andrea Lo Cicero,,Andrea Lo Cicero,Squad caps,1008,Andrea Lo Cicero,Rugby World Cup 2011,international
Andrea Lovotti,,Andrea Lovotti,Italy,38,Zebre,"Rugby World Cup 2015, Rugby World Cup 2019",international
Andrea Manici,,Andrea Manici,Italy,13,Zebre,Rugby World Cup 2015,international
Andrea Masi,,Andrea Masi,Italy,94,Biarritz Olympique,"Rugby World Cup 2007, Rugby World Cup 2011, Rugby World Cup 2015",international
Andrea Zambonin,,Andrea Zambonin,Italy,3,Zebre Parma,Six Nations 2024,premiership
Andrei Bykanov,,Andrei Bykanov,Russia,7,Slava Moscow,Rugby World Cup 2011,international
Andrei Ostrikov,,Andrei Ostrikov,Russia,33,Sale Sharks,"Rugby World Cup 2011, Rugby World Cup 2019",international
Andrei Rădoi,,Andrei Rădoi,Romania,46,Timișoara Saracens,Rugby World Cup 2015,international
Andrei Ursache,,Andrei Ursache,Romania,22,Carcassonne,Rugby World Cup 2015,international
Andrew Coe,,Andrew Coe,Canada,11,Markham Irish,Rugby World Cup 2019,international
Andrew Conway,,Andrew Conway,Ireland,15,Munster,Rugby World Cup 2019,international
Andrew Durutalo,,Andrew Durutalo,United States,9,USA Sevens,Rugby World Cup 2015,international
Andrew Henderson,,Andrew Henderson,Scotland,46,Glasgow,Rugby World Cup 2007,international
Andrew Hore,,Andrew Hore,New Zealand,60,Taranaki,"Rugby World Cup 2007, Rugby World Cup 2011",international
Andrew Kellaway,,Andrew Kellaway,Australia,24,Melbourne Rebels,Rugby World Cup 2023,nan
Andrew Maʻilei,,Andrew Maʻilei,Tonga,18,Bordeaux,Rugby World Cup 2011,international
Andrew Osborne,,Andrew Osborne,United States,1,OMBAC,Rugby World Cup 2007,urc
Andrew Porter,,Andrew Porter,Ireland,75,Leinster,"Rugby World Cup 2019, Rugby World Cup 2023, Six Nations 2024, Six Nations 2025",urc
Andrew Quattrin,,Andrew Quattrin,Canada,3,Toronto Arrows,Rugby World Cup 2019,international
Andrew Quattrin,,Andrew Quattrin,Squad caps,889,Andrew Quattrin,Rugby World Cup 2019,international
Andrew Sheridan,,Andrew Sheridan,England,10,Sale Sharks,Rugby World Cup 2007,international
Andrew Suniula,,Andrew Suniula,United States,37,Cornish Pirates,"Rugby World Cup 2011, Rugby World Cup 2015",international
Andrew Tiedemann,,Andrew Tiedemann,Canada,35,Prairie Wolf Pack,"Rugby World Cup 2011, Rugby World Cup 2015",international
Andrew Trimble,,Andrew Trimble,Ireland,35,Ulster,"Rugby World Cup 2007, Rugby World Cup 2011",international
Andrey Garbuzov,,Andrey Garbuzov,Russia,94,Krasny Yar,"Rugby World Cup 2011, Rugby World Cup 2019",international
Andrey Kuzin,,Andrey Kuzin,Russia,59,VVA Podmoskovye,Rugby World Cup 2011,international
Andrey Polivalov,,Andrey Polivalov,Russia,25,VVA-Podmoskovye,Rugby World Cup 2019,international
André Esterhuizen,,André Esterhuizen,South Africa,14,Harlequins,Rugby World Cup 2023,urc
André Gorin,,André Gorin,Romania,44,Hyères Carqueiranne,Rugby World Cup 2023,international
André Pretorius,,André Pretorius,South Africa,24,Lions,Rugby World Cup 2007,international
André Rademeyer,,André Rademeyer,Namibia,3,Welwitschias,Rugby World Cup 2019,international
André Silva,,André Silva,Portugal,12,Stade Montois,Rugby World Cup 2007,international
André van den Berg,,André van den Berg,Namibia,4,Wanderers,Rugby World Cup 2023,international
Andrés Vilaseca,,Andrés Vilaseca,Uruguay,75,Old Boys,"Rugby World Cup 2015, Rugby World Cup 2019, Rugby World Cup 2023",international
Andy Christie,,Andy Christie,Scotland,4,Saracens,Six Nations 2024,international
Andy Ellis,,Andy Ellis,New Zealand,24,Canterbury,"Rugby World Cup 2007, Rugby World Cup 2011",international
Andy Farrell,,Andy Farrell,England,3,Saracens,Rugby World Cup 2007,international
Andy Gomarsall,,Andy Gomarsall,England,25,Harlequins,Rugby World Cup 2007,international
Andy Powell,,Andy Powell,Wales,18,Sale Sharks,Rugby World Cup 2011,international
Ange Capuozzo,,Ange Capuozzo,Italy,24,Toulouse,"Rugby World Cup 2023, Six Nations 2024, Six Nations 2025",top14
Angus Bell,,Angus Bell,Australia,24,NSW Waratahs,Rugby World Cup 2023,urc
Angus Ta'avao,,Angus Ta'avao,New Zealand,8,Chiefs,Rugby World Cup 2019,nan
Anitelea Tuilagi,,Anitelea Tuilagi,Samoa,9,Leeds,Rugby World Cup 2007,international
Anthony Alves,,Anthony Alves,Portugal,31,Mont-de-Marsan,Rugby World Cup 2023,international
Anthony Boric,,Anthony Boric,New Zealand,23,Blues,Rugby World Cup 2011,international
Anthony Fainga'a,,Anthony Fainga'a,Australia,6,Reds,Rugby World Cup 2011,international
Anthony Jelonch,,Anthony Jelonch,France,29,Toulouse,"Rugby World Cup 2023, Six Nations 2024, Six Nations 2025",top14
Anthony Perenise,,Anthony Perenise,Samoa,24,Bath,"Rugby World Cup 2011, Rugby World Cup 2015",international
Anthony Watson,,Anthony Watson,England,56,Bath,"Rugby World Cup 2015, Rugby World Cup 2019, Rugby World Cup 2023",international
Anthony Watson,,Anthony Watson,Player representation by league,0,Anthony Watson,Rugby World Cup 2015,international
Antoine Dupont,,Antoine Dupont,France,55,Toulouse,"Rugby World Cup 2019, Rugby World Cup 2023, Six Nations 2025",top14
Antoine Frisch,,Antoine Frisch,Call-ups,0,Munster,Six Nations 2024,top14
Antoine Frisch,,Antoine Frisch,France,2,Toulon,Six Nations 2025,top14
Antoine Gibert,,Antoine Gibert,France,0,Racing 92,Six Nations 2024,top14
Antoine Hastoy,,Antoine Hastoy,France,4,La Rochelle,Rugby World Cup 2023,top14
Anton Lienert-Brown,,Anton Lienert-Brown,New Zealand,63,Chiefs,"Rugby World Cup 2019, Rugby World Cup 2023",league-one
Anton Oliver,,Anton Oliver,New Zealand,55,Otago,Rugby World Cup 2007,international
Anton Peikrishvili,,Anton Peikrishvili,Georgia,16,Bayonne,Rugby World Cup 2015,international
Anton Sychev,,Anton Sychev,Russia,14,Metallurg,Rugby World Cup 2019,international
António Aguilar,,António Aguilar,Portugal,47,Direito,Rugby World Cup 2007,international
António Machado Santos,,António Machado Santos,Portugal,2,Belenenses,Rugby World Cup 2023,international
Anzelo Tuitavuki,,Anzelo Tuitavuki,Tonga,7,Moana Pasifika,Rugby World Cup 2023,international
Api Ratuniyarawa,,Api Ratuniyarawa,Fiji,41,Agen,"Rugby World Cup 2015, Rugby World Cup 2019, Rugby World Cup 2023",international
Aranos Coetzee,,Aranos Coetzee,Namibia,29,Cheetahs,"Rugby World Cup 2015, Rugby World Cup 2019, Rugby World Cup 2023",international
Archie Griffin,,Archie Griffin,Wales,0,Bath,Six Nations 2024,premiership
